2021-02-07 15:00:13.211 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-07 15:00:30.414 +09:00 | Connection update   | Networking     | 76561199044409090@steam preauthenticated from endpoint 121.184.27.209:59536.
2021-02-07 15:00:34.364 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:55613.
2021-02-07 15:00:35.862 +09:00 | Connection update   | Networking     | 76561198962762118@steam preauthenticated from endpoint 121.145.80.125:51460.
2021-02-07 15:00:41.328 +09:00 | Connection update   | Networking     | 76561199058256631@steam preauthenticated from endpoint 222.102.99.142:60873.
2021-02-07 15:00:42.081 +09:00 | Connection update   | Networking     | 76561199044409090@steam authenticated from endpoint 121.184.27.209:59536. Player ID assigned: 3. Auth token serial number: f0jdxhvmEdIBxrQu
2021-02-07 15:00:42.130 +09:00 | Connection update   | Networking     | Nickname of 76561199044409090@steam is now Benedit.
2021-02-07 15:00:42.450 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:55613. Player ID assigned: 2. Auth token serial number: ksIkGnKhW/MNh8KO
2021-02-07 15:00:42.467 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-07 15:00:42.473 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-07 15:00:43.869 +09:00 | Connection update   | Networking     | 76561198962762118@steam authenticated from endpoint 121.145.80.125:51460. Player ID assigned: 4. Auth token serial number: 9zCk8PZQDCO6y75J
2021-02-07 15:00:43.928 +09:00 | Connection update   | Networking     | Nickname of 76561198962762118@steam is now bosung6332.
2021-02-07 15:00:49.582 +09:00 | Connection update   | Networking     | 76561199058256631@steam authenticated from endpoint 222.102.99.142:60873. Player ID assigned: 5. Auth token serial number: slQyST14QUlxWTu2
2021-02-07 15:00:49.623 +09:00 | Connection update   | Networking     | Nickname of 76561199058256631@steam is now 임정민.
2021-02-07 15:01:06.843 +09:00 | Game Event          | Logger         | Round has been started.
2021-02-07 15:01:07.856 +09:00 | Game Event          | Class change   | bosung6332 (76561198962762118@steam) spawned as Class-D Personnel.
2021-02-07 15:01:07.856 +09:00 | Game Event          | Class change   | Goldmilk777 (76561198254130933@steam) spawned as SCP-049.
2021-02-07 15:01:07.856 +09:00 | Game Event          | Class change   | 임정민 (76561199058256631@steam) spawned as Facility Guard.
2021-02-07 15:01:07.857 +09:00 | Game Event          | Class change   | Benedit (76561199044409090@steam) spawned as Class-D Personnel.
2021-02-07 15:01:07.860 +09:00 | Game Event          | Logger         | Random classes have been assigned by DCP.
