2021-02-07 23:01:07.732 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-07 23:01:15.964 +09:00 | Connection update   | Networking     | 76561199125108335@steam preauthenticated from endpoint 58.125.251.204:53208.
2021-02-07 23:01:16.248 +09:00 | Connection update   | Networking     | 76561199126354523@steam preauthenticated from endpoint 180.65.151.109:55122.
2021-02-07 23:01:16.254 +09:00 | Connection update   | Networking     | 76561198966079073@steam preauthenticated from endpoint 58.123.52.6:50712.
2021-02-07 23:01:16.298 +09:00 | Connection update   | Networking     | 76561198808870857@steam preauthenticated from endpoint 49.175.126.64:49802.
2021-02-07 23:01:16.516 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:53048.
2021-02-07 23:01:16.817 +09:00 | Connection update   | Networking     | 76561198827084046@steam preauthenticated from endpoint 125.184.11.46:61587.
2021-02-07 23:01:22.849 +09:00 | Connection update   | Networking     | 76561199126354523@steam authenticated from endpoint 180.65.151.109:55122. Player ID assigned: 3. Auth token serial number: vIvsgFVG68MLku4e
2021-02-07 23:01:22.881 +09:00 | Connection update   | Networking     | Nickname of 76561199126354523@steam is now 코나파라.
2021-02-07 23:01:23.467 +09:00 | Connection update   | Networking     | 76561199125108335@steam authenticated from endpoint 58.125.251.204:53208. Player ID assigned: 2. Auth token serial number: f0Uj1Xm/psacU4yt
2021-02-07 23:01:23.514 +09:00 | Connection update   | Networking     | Nickname of 76561199125108335@steam is now jojotlqkf090326.
2021-02-07 23:01:25.383 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:53048. Player ID assigned: 4. Auth token serial number: eLd6RS98Jo7IRVQh
2021-02-07 23:01:25.417 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-07 23:01:25.423 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-07 23:01:25.507 +09:00 | Connection update   | Networking     | 76561198808870857@steam authenticated from endpoint 49.175.126.64:49802. Player ID assigned: 5. Auth token serial number: QSaFR3OJMZRmm1tN
2021-02-07 23:01:25.558 +09:00 | Connection update   | Networking     | Nickname of 76561198808870857@steam is now Tool 3 Second Cut.
2021-02-07 23:01:25.711 +09:00 | Connection update   | Networking     | 76561198966079073@steam authenticated from endpoint 58.123.52.6:50712. Player ID assigned: 6. Auth token serial number: 2TakEesnS9iErv2r
2021-02-07 23:01:25.754 +09:00 | Connection update   | Networking     | Nickname of 76561198966079073@steam is now ysh223400.
2021-02-07 23:01:31.830 +09:00 | Connection update   | Networking     | 76561198827084046@steam authenticated from endpoint 125.184.11.46:61587. Player ID assigned: 7. Auth token serial number: u9hnRkWw5XAA0N6l
2021-02-07 23:01:31.904 +09:00 | Connection update   | Networking     | Nickname of 76561198827084046@steam is now NOKK_녹크.
2021-02-07 23:01:31.904 +09:00 | Connection update   | Networking     | Player (CharacterClassManager)) connected from IP 125.184.11.46 sent Do Not Track signal.
2021-02-07 23:01:49.184 +09:00 | Game Event          | Logger         | Round has been started.
2021-02-07 23:01:50.196 +09:00 | Game Event          | Class change   | NOKK_녹크 (76561198827084046@steam) spawned as Class-D Personnel.
2021-02-07 23:01:50.196 +09:00 | Game Event          | Class change   | Tool 3 Second Cut (76561198808870857@steam) spawned as SCP-096.
2021-02-07 23:01:50.196 +09:00 | Game Event          | Class change   | 코나파라 (76561199126354523@steam) spawned as Facility Guard.
2021-02-07 23:01:50.196 +09:00 | Game Event          | Class change   | jojotlqkf090326 (76561199125108335@steam) spawned as Class-D Personnel.
2021-02-07 23:01:50.196 +09:00 | Game Event          | Class change   | Goldmilk777 (76561198254130933@steam) spawned as Scientist.
2021-02-07 23:01:50.196 +09:00 | Game Event          | Class change   | ysh223400 (76561198966079073@steam) spawned as Facility Guard.
2021-02-07 23:01:50.199 +09:00 | Game Event          | Logger         | Random classes have been assigned by DCP.
2021-02-07 23:01:50.230 +09:00 | Game Event          | Logger         | Class Picker Result: ClassD | Scp096 | FacilityGuard | ClassD | Scientist | FacilityGuard | 
2021-02-07 23:01:53.536 +09:00 | Connection update   | Networking     | ysh223400 76561198966079073@steam disconnected from IP address 58.123.52.6. Last class: FacilityGuard (Facility Guard)
2021-02-07 23:02:22.791 +09:00 | Connection update   | Networking     | 76561199040912186@steam preauthenticated from endpoint 58.146.235.194:62147.
2021-02-07 23:02:33.548 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-07 23:02:34.412 +09:00 | Connection update   | Networking     | 76561199040912186@steam authenticated from endpoint 58.146.235.194:62147. Player ID assigned: 8. Auth token serial number: Fc0uzlO3HaTWmWhn
2021-02-07 23:02:34.495 +09:00 | Connection update   | Networking     | Nickname of 76561199040912186@steam is now emfico.
2021-02-07 23:02:42.009 +09:00 | Connection update   | Networking     | 76561199104262415@steam preauthenticated from endpoint 182.209.41.17:54430.
2021-02-07 23:02:44.717 +09:00 | Remote Admin        | Class change   | Goldmilk777 (76561198254130933@steam) ran the forceclass command (ID: 6 - Scientist) on 4. players.
