2021-02-09 13:07:19.420 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-09 13:07:42.095 +09:00 | Connection update   | Networking     | 76561199107438179@steam preauthenticated from endpoint 112.148.61.24:57543.
2021-02-09 13:07:42.226 +09:00 | Connection update   | Networking     | 76561198871214440@steam preauthenticated from endpoint 222.114.125.238:64858.
2021-02-09 13:07:42.232 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:59744.
2021-02-09 13:07:42.434 +09:00 | Connection update   | Networking     | 76561199075080065@steam preauthenticated from endpoint 125.185.60.191:59685.
2021-02-09 13:07:42.490 +09:00 | Connection update   | Networking     | 76561199062608815@steam preauthenticated from endpoint 220.65.74.69:49967.
2021-02-09 13:07:42.603 +09:00 | Connection update   | Networking     | 76561199100751006@steam preauthenticated from endpoint 182.224.78.243:56656.
2021-02-09 13:07:43.044 +09:00 | Connection update   | Networking     | 76561199053868330@steam preauthenticated from endpoint 125.185.109.151:63791.
2021-02-09 13:07:44.707 +09:00 | Connection update   | Networking     | 76561199079010866@steam preauthenticated from endpoint 210.192.71.6:62339.
2021-02-09 13:07:49.828 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:59744. Player ID assigned: 3. Auth token serial number: Ywn9XQ5rmJwL0UYA
2021-02-09 13:07:49.856 +09:00 | Connection update   | Networking     | 76561199107438179@steam authenticated from endpoint 112.148.61.24:57543. Player ID assigned: 2. Auth token serial number: aidyppnZwPzKxjHj
2021-02-09 13:07:49.875 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-09 13:07:49.886 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-09 13:07:49.898 +09:00 | Connection update   | Networking     | Nickname of 76561199107438179@steam is now 세포까지카오스.
2021-02-09 13:07:50.159 +09:00 | Connection update   | Networking     | 76561198871214440@steam authenticated from endpoint 222.114.125.238:64858. Player ID assigned: 4. Auth token serial number: ORauuDVVv71vEMc9
2021-02-09 13:07:50.193 +09:00 | Connection update   | Networking     | Nickname of 76561198871214440@steam is now 승훈2.
2021-02-09 13:07:52.454 +09:00 | Connection update   | Networking     | 76561199100751006@steam authenticated from endpoint 182.224.78.243:56656. Player ID assigned: 6. Auth token serial number: XEEcMvgcfLyFdKwT
2021-02-09 13:07:52.488 +09:00 | Connection update   | Networking     | Nickname of 76561199100751006@steam is now 시설관리자[중립협회장].
2021-02-09 13:07:52.632 +09:00 | Connection update   | Networking     | 76561199062608815@steam authenticated from endpoint 220.65.74.69:49967. Player ID assigned: 5. Auth token serial number: 6nKc5tRBODzum5TJ
2021-02-09 13:07:52.682 +09:00 | Connection update   | Networking     | Nickname of 76561199062608815@steam is now fzlxlcldo047216.
2021-02-09 13:07:52.682 +09:00 | Connection update   | Networking     | Player (CharacterClassManager)) connected from IP 220.65.74.69 sent Do Not Track signal.
2021-02-09 13:07:52.816 +09:00 | Connection update   | Networking     | 76561199075080065@steam authenticated from endpoint 125.185.60.191:59685. Player ID assigned: 7. Auth token serial number: iuDMAUNXXyKRqyfG
2021-02-09 13:07:52.873 +09:00 | Connection update   | Networking     | Nickname of 76561199075080065@steam is now NTF AND CHAOS.
2021-02-09 13:07:53.750 +09:00 | Connection update   | Networking     | 76561199053868330@steam authenticated from endpoint 125.185.109.151:63791. Player ID assigned: 8. Auth token serial number: tZIi7HXvj0prbPYB
2021-02-09 13:07:53.800 +09:00 | Connection update   | Networking     | Nickname of 76561199053868330@steam is now 달.
2021-02-09 13:08:04.982 +09:00 | Connection update   | Networking     | 76561199079010866@steam authenticated from endpoint 210.192.71.6:62339. Player ID assigned: 9. Auth token serial number: 4n3O6ztD8pM4SynM
2021-02-09 13:08:05.081 +09:00 | Connection update   | Networking     | Nickname of 76561199079010866@steam is now 지매.
2021-02-09 13:08:18.156 +09:00 | Game Event          | Logger         | Round has been started.
2021-02-09 13:08:19.168 +09:00 | Game Event          | Class change   | 세포까지카오스 (76561199107438179@steam) spawned as Class-D Personnel.
2021-02-09 13:08:19.168 +09:00 | Game Event          | Class change   | Goldmilk777 (76561198254130933@steam) spawned as SCP-173.
2021-02-09 13:08:19.168 +09:00 | Game Event          | Class change   | 달 (76561199053868330@steam) spawned as Facility Guard.
2021-02-09 13:08:19.168 +09:00 | Game Event          | Class change   | 지매 (76561199079010866@steam) spawned as Class-D Personnel.
2021-02-09 13:08:19.168 +09:00 | Game Event          | Class change   | 승훈2 (76561198871214440@steam) spawned as Scientist.
2021-02-09 13:08:19.168 +09:00 | Game Event          | Class change   | fzlxlcldo047216 (76561199062608815@steam) spawned as Facility Guard.
2021-02-09 13:08:19.168 +09:00 | Game Event          | Class change   | NTF AND CHAOS (76561199075080065@steam) spawned as Class-D Personnel.
2021-02-09 13:08:19.168 +09:00 | Game Event          | Class change   | 시설관리자[중립협회장] (76561199100751006@steam) spawned as SCP-939-89.
2021-02-09 13:08:19.172 +09:00 | Game Event          | Logger         | Random classes have been assigned by DCP.
2021-02-09 13:08:19.225 +09:00 | Game Event          | Logger         | Class Picker Result: ClassD | Scp173 | FacilityGuard | ClassD | Scientist | FacilityGuard | ClassD | Scp93989 | 
2021-02-09 13:08:25.836 +09:00 | Connection update   | Networking     | 76561199127505687@steam preauthenticated from endpoint 222.121.252.209:61890.
2021-02-09 13:08:32.888 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-09 13:08:33.756 +09:00 | Connection update   | Networking     | 76561199127505687@steam authenticated from endpoint 222.121.252.209:61890. Player ID assigned: 10. Auth token serial number: ppI8/j/7YqBPclKW
2021-02-09 13:08:33.807 +09:00 | Connection update   | Networking     | Nickname of 76561199127505687@steam is now hsw782065.
2021-02-09 13:08:37.047 +09:00 | Connection update   | Networking     | hsw782065 76561199127505687@steam disconnected from IP address 222.121.252.209. Last class: ClassD (Class-D Personnel)
2021-02-09 13:08:40.093 +09:00 | Connection update   | Networking     | 76561199071968537@steam preauthenticated from endpoint 116.46.185.49:65218.
2021-02-09 13:08:53.732 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-09 13:08:54.359 +09:00 | Kill                | Class change   | 지매 (76561199079010866@steam) playing as Class-D Personnel has been killed by Goldmilk777 (76561198254130933@steam) using SCP-173 playing as SCP-173.
2021-02-09 13:08:54.737 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-09 13:08:55.245 +09:00 | Connection update   | Networking     | 76561199071968537@steam authenticated from endpoint 116.46.185.49:65218. Player ID assigned: 11. Auth token serial number: 3GSCmj5As4jkuMfA
2021-02-09 13:08:55.295 +09:00 | Connection update   | Networking     | Nickname of 76561199071968537@steam is now (korea )D-1269.
2021-02-09 13:09:12.919 +09:00 | Connection update   | Networking     | 지매 76561199079010866@steam disconnected from IP address 210.192.71.6. Last class: Spectator (Spectator)
2021-02-09 13:09:30.891 +09:00 | Connection update   | Networking     | 76561198430198314@steam preauthenticated from endpoint 118.222.214.60:65460.
2021-02-09 13:09:49.704 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-09 13:09:50.229 +09:00 | Connection update   | Networking     | 76561198430198314@steam authenticated from endpoint 118.222.214.60:65460. Player ID assigned: 12. Auth token serial number: W8auol41wpa2Q5kY
2021-02-09 13:09:50.280 +09:00 | Connection update   | Networking     | Nickname of 76561198430198314@steam is now oytttttt.
2021-02-09 13:09:59.113 +09:00 | Kill                | Class change   | fzlxlcldo047216 (76561199062608815@steam) playing as Facility Guard has been killed by 시설관리자[중립협회장] (76561199100751006@steam) using SCP-939 playing as SCP-939-89.
2021-02-09 13:10:34.470 +09:00 | Kill                | Class change   | 달 (76561199053868330@steam) playing as Facility Guard has been killed by 시설관리자[중립협회장] (76561199100751006@steam) using SCP-939 playing as SCP-939-89.
2021-02-09 13:11:54.192 +09:00 | Connection update   | Networking     | 76561198015087020@steam preauthenticated from endpoint 118.37.79.91:51136.
2021-02-09 13:12:01.421 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-09 13:12:02.427 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-09 13:12:02.622 +09:00 | Connection update   | Networking     | 76561198015087020@steam authenticated from endpoint 118.37.79.91:51136. Player ID assigned: 13. Auth token serial number: hSr79iksmfTceOgx
2021-02-09 13:12:02.655 +09:00 | Connection update   | Networking     | Nickname of 76561198015087020@steam is now 스런.
2021-02-09 13:12:12.995 +09:00 | Connection update   | Networking     | Goldmilk777 76561198254130933@steam disconnected from IP address 192.168.0.1. Last class: Scp173 (SCP-173)
2021-02-09 13:12:15.199 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:57510.
2021-02-09 13:12:23.148 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-09 13:12:23.352 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:57510. Player ID assigned: 14. Auth token serial number: poVlagfb1WXI7AWt
2021-02-09 13:12:23.409 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-09 13:12:23.411 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-09 13:14:01.537 +09:00 | Connection update   | Networking     | 76561199004716937@steam preauthenticated from endpoint 124.56.114.81:53759.
2021-02-09 13:14:18.857 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-09 13:14:19.785 +09:00 | Connection update   | Networking     | 76561199004716937@steam authenticated from endpoint 124.56.114.81:53759. Player ID assigned: 15. Auth token serial number: VSi/1AwUwcEcARUO
2021-02-09 13:14:19.813 +09:00 | Connection update   | Networking     | Nickname of 76561199004716937@steam is now 가드는 더러워.
2021-02-09 13:14:25.973 +09:00 | Game Event          | Class change   | Player 가드는 더러워 (76561199004716937@steam) respawned as NtfCommander.
2021-02-09 13:14:25.979 +09:00 | Game Event          | Class change   | Player (korea )D-1269 (76561199071968537@steam) respawned as NtfLieutenant.
2021-02-09 13:14:25.984 +09:00 | Game Event          | Class change   | Player 달 (76561199053868330@steam) respawned as NtfLieutenant.
2021-02-09 13:14:25.989 +09:00 | Game Event          | Class change   | Player oytttttt (76561198430198314@steam) respawned as NtfLieutenant.
2021-02-09 13:14:25.995 +09:00 | Game Event          | Class change   | Player Goldmilk777 (76561198254130933@steam) respawned as NtfCadet.
2021-02-09 13:14:26.003 +09:00 | Game Event          | Class change   | Player 스런 (76561198015087020@steam) respawned as NtfCadet.
2021-02-09 13:14:26.003 +09:00 | Game Event          | Class change   | RespawnManager has successfully spawned 6 players as NineTailedFox!
2021-02-09 13:15:21.498 +09:00 | Connection update   | Networking     | 76561199112849985@steam preauthenticated from endpoint 211.187.127.126:57087.
2021-02-09 13:15:27.790 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-09 13:15:28.802 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-09 13:15:28.831 +09:00 | Connection update   | Networking     | 76561199112849985@steam authenticated from endpoint 211.187.127.126:57087. Player ID assigned: 16. Auth token serial number: NhMHbDZOUdZMhLd9
2021-02-09 13:15:28.883 +09:00 | Connection update   | Networking     | Nickname of 76561199112849985@steam is now 하고찡.
2021-02-09 13:15:28.886 +09:00 | Connection update   | Permissions    | 하고찡 (76561199112849985@steam) has been assigned to group 관리자.
2021-02-09 13:15:43.568 +09:00 | Connection update   | Networking     | 76561198857629393@steam preauthenticated from endpoint 221.141.217.143:58448.
2021-02-09 13:15:49.762 +09:00 | Connection update   | Networking     | 76561198993433524@steam preauthenticated from endpoint 125.177.72.27:50355.
2021-02-09 13:15:55.511 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-09 13:15:56.528 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-09 13:15:56.703 +09:00 | Connection update   | Networking     | 76561198857629393@steam authenticated from endpoint 221.141.217.143:58448. Player ID assigned: 17. Auth token serial number: 6nU8fBnAdzthqeCS
2021-02-09 13:15:56.735 +09:00 | Connection update   | Networking     | Nickname of 76561198857629393@steam is now 크리.
2021-02-09 13:15:56.737 +09:00 | Connection update   | Permissions    | 크리 (76561198857629393@steam) has been assigned to group 관리자.
2021-02-09 13:16:02.800 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-09 13:16:03.826 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-09 13:16:04.046 +09:00 | Connection update   | Networking     | 76561198993433524@steam authenticated from endpoint 125.177.72.27:50355. Player ID assigned: 18. Auth token serial number: Qu6Kiyu5iP/InTdb
2021-02-09 13:16:04.082 +09:00 | Connection update   | Networking     | Nickname of 76561198993433524@steam is now wkdalfm998.
2021-02-09 13:16:16.425 +09:00 | Connection update   | Networking     | wkdalfm998 76561198993433524@steam disconnected from IP address 125.177.72.27. Last class: Spectator (Spectator)
2021-02-09 13:16:21.466 +09:00 | Kill                | Class change   | 세포까지카오스 (76561199107438179@steam) playing as Class-D Personnel has been killed by 달 (76561199053868330@steam) using E11 Standard Rifle playing as Nine-Tailed Fox Lieutenant.
2021-02-09 13:16:36.646 +09:00 | Connection update   | Networking     | 76561198811674532@steam preauthenticated from endpoint 183.96.65.223:53960.
2021-02-09 13:16:45.101 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-09 13:16:45.555 +09:00 | Connection update   | Networking     | 76561198811674532@steam authenticated from endpoint 183.96.65.223:53960. Player ID assigned: 19. Auth token serial number: DNGmBNdDVWztPck5
2021-02-09 13:16:45.594 +09:00 | Connection update   | Networking     | Nickname of 76561198811674532@steam is now stubpy909.
2021-02-09 13:16:58.357 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) ran the heal command on 7. players.
2021-02-09 13:17:46.319 +09:00 | Game Event          | Logger         | Player 달 (76561199053868330@steam) threw a frag grenade.
2021-02-09 13:17:51.063 +09:00 | Game Event          | Logger         | Player 달 (76561199053868330@steam)'s frag grenade exploded.
2021-02-09 13:18:06.263 +09:00 | Kill                | Class change   | 승훈2 (76561198871214440@steam) playing as Scientist has been killed by 04df1f88-7f9c-4d75-a9e1-dabe378d54a8 using TESLA.
2021-02-09 13:18:13.906 +09:00 | Connection update   | Networking     | 76561199132016255@steam preauthenticated from endpoint 221.138.223.138:62441.
2021-02-09 13:18:23.678 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-09 13:18:24.124 +09:00 | Connection update   | Networking     | Goldmilk777 76561198254130933@steam disconnected from IP address 192.168.0.1. Last class: NtfCadet (Nine-Tailed Fox Cadet)
2021-02-09 13:18:24.289 +09:00 | Connection update   | Networking     | 76561199132016255@steam authenticated from endpoint 221.138.223.138:62441. Player ID assigned: 20. Auth token serial number: 7xNkwv4F6wVwlh9/
2021-02-09 13:18:24.330 +09:00 | Connection update   | Networking     | Nickname of 76561199132016255@steam is now 뼈곡 NTF.
2021-02-09 13:18:26.744 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:62663.
2021-02-09 13:18:35.301 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-09 13:18:35.321 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:62663. Player ID assigned: 21. Auth token serial number: seCdfzoKDbi11G0M
2021-02-09 13:18:35.352 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-09 13:18:35.354 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-09 13:18:40.022 +09:00 | Remote Admin        | Class change   | Goldmilk777 (76561198254130933@steam) ran the forceclass command (ID: 14 - Tutorial) on 17. players.
2021-02-09 13:18:41.625 +09:00 | Remote Admin        | Class change   | Goldmilk777 (76561198254130933@steam) ran the forceclass command (ID: 14 - Tutorial) on 16. players.
2021-02-09 13:18:42.661 +09:00 | Remote Admin        | Class change   | Goldmilk777 (76561198254130933@steam) ran the forceclass command (ID: 14 - Tutorial) on 21. players.
2021-02-09 13:18:46.047 +09:00 | Game Event          | Logger         | Player (korea )D-1269 (76561199071968537@steam) threw a frag grenade.
2021-02-09 13:18:50.789 +09:00 | Game Event          | Logger         | Player (korea )D-1269 (76561199071968537@steam)'s frag grenade exploded.
2021-02-09 13:18:56.888 +09:00 | Kill                | Class change   | 가드는 더러워 (76561199004716937@steam) playing as Nine-Tailed Fox Commander has been killed by 시설관리자[중립협회장] (76561199100751006@steam) using SCP-939 playing as SCP-939-89.
2021-02-09 13:19:02.524 +09:00 | Kill                | Class change   | 달 (76561199053868330@steam) playing as Nine-Tailed Fox Lieutenant has been killed by 시설관리자[중립협회장] (76561199100751006@steam) using SCP-939 playing as SCP-939-89.
2021-02-09 13:19:07.890 +09:00 | Connection update   | Networking     | 달 76561199053868330@steam disconnected from IP address 125.185.109.151. Last class: Spectator (Spectator)
2021-02-09 13:19:53.756 +09:00 | Game Event          | Warhead        | 세포까지카오스 (76561199107438179@steam) set the Alpha Warhead status to True.
2021-02-09 13:19:55.030 +09:00 | Game Event          | Warhead        | Detonation cancelled.
