2021-02-07 19:43:11.277 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-07 19:43:21.903 +09:00 | Connection update   | Networking     | 76561198956540241@steam preauthenticated from endpoint 175.116.70.90:58280.
2021-02-07 19:43:22.571 +09:00 | Connection update   | Networking     | 76561199104262415@steam preauthenticated from endpoint 182.209.41.17:42724.
2021-02-07 19:43:22.759 +09:00 | Connection update   | Networking     | 76561199074813952@steam preauthenticated from endpoint 112.157.114.246:50098.
2021-02-07 19:43:22.829 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:54371.
2021-02-07 19:43:29.929 +09:00 | Connection update   | Networking     | 76561198956540241@steam authenticated from endpoint 175.116.70.90:58280. Player ID assigned: 2. Auth token serial number: l4ZSfNgvz81ywx6z
2021-02-07 19:43:29.975 +09:00 | Connection update   | Networking     | Nickname of 76561198956540241@steam is now 눈사람.
2021-02-07 19:43:29.990 +09:00 | Connection update   | Permissions    | 눈사람 (76561198956540241@steam) has been assigned to group ADMIN.
2021-02-07 19:43:32.646 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:54371. Player ID assigned: 3. Auth token serial number: h4ocs3/5yIo5Z4tg
2021-02-07 19:43:32.680 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-07 19:43:32.684 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-07 19:43:33.675 +09:00 | Connection update   | Networking     | 76561199074813952@steam authenticated from endpoint 112.157.114.246:50098. Player ID assigned: 4. Auth token serial number: 5VTRs0QpKdv1hkbx
2021-02-07 19:43:33.775 +09:00 | Connection update   | Networking     | Nickname of 76561199074813952@steam is now 반란 Восстание.
2021-02-07 19:43:35.054 +09:00 | Connection update   | Networking     | 76561199104262415@steam authenticated from endpoint 182.209.41.17:42724. Player ID assigned: 5. Auth token serial number: uj9AkEKtvE47Kk9K
2021-02-07 19:43:35.088 +09:00 | Connection update   | Networking     | Nickname of 76561199104262415@steam is now 콩순이 남편.
2021-02-07 19:43:35.088 +09:00 | Connection update   | Networking     | Player (CharacterClassManager)) connected from IP 182.209.41.17 sent Do Not Track signal.
2021-02-07 19:43:57.132 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) forced a server event: ROUND_RESTART
2021-02-07 19:43:57.174 +09:00 | Game Event          | Logger         | Round has been started.
2021-02-07 19:43:57.676 +09:00 | Connection update   | Networking     | Goldmilk777 76561198254130933@steam disconnected from IP address 192.168.0.1. Last class: Scp049 (SCP-049)
2021-02-07 19:43:57.706 +09:00 | Connection update   | Networking     | 콩순이 남편 76561199104262415@steam disconnected from IP address 182.209.41.17. Last class: Scp0492 (SCP-049-2)
2021-02-07 19:43:57.711 +09:00 | Connection update   | Networking     | 눈사람 76561198956540241@steam disconnected from IP address 175.116.70.90. Last class: Scp173 (SCP-173)
2021-02-07 19:43:57.759 +09:00 | Connection update   | Networking     | 반란 Восстание 76561199074813952@steam disconnected from IP address 112.157.114.246. Last class: Scp049 (SCP-049)
2021-02-07 19:43:58.190 +09:00 | Game Event          | Logger         | Random classes have been assigned by DCP.
2021-02-07 19:43:58.190 +09:00 | Game Event          | Logger         | Class Picker Result: 
