2021-02-06 13:32:59.446 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-06 13:33:08.606 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:55712.
2021-02-06 13:33:10.003 +09:00 | Connection update   | Networking     | 76561199138508923@steam preauthenticated from endpoint 211.184.142.36:55752.
2021-02-06 13:33:10.205 +09:00 | Connection update   | Networking     | 76561198379489823@steam preauthenticated from endpoint 106.248.75.149:57444.
2021-02-06 13:33:10.222 +09:00 | Connection update   | Networking     | 76561199073424187@steam preauthenticated from endpoint 222.232.222.56:61415.
2021-02-06 13:33:10.322 +09:00 | Connection update   | Networking     | 76561198111394844@steam preauthenticated from endpoint 210.223.164.21:63458.
2021-02-06 13:33:11.300 +09:00 | Connection update   | Networking     | 76561198122172912@steam preauthenticated from endpoint 112.185.13.251:56010.
2021-02-06 13:33:16.586 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:55712. Player ID assigned: 2. Auth token serial number: cDoe8/o2vpdtGuAP
2021-02-06 13:33:16.621 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-06 13:33:16.626 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-06 13:33:17.493 +09:00 | Connection update   | Networking     | 76561199138508923@steam authenticated from endpoint 211.184.142.36:55752. Player ID assigned: 4. Auth token serial number: 4peffKS/vO0oawXh
2021-02-06 13:33:17.511 +09:00 | Connection update   | Networking     | 76561199073424187@steam authenticated from endpoint 222.232.222.56:61415. Player ID assigned: 3. Auth token serial number: IJu8Ar68Ybcl60FJ
2021-02-06 13:33:17.546 +09:00 | Connection update   | Networking     | Nickname of 76561199138508923@steam is now prthqbdiwvzftk5726.
2021-02-06 13:33:17.569 +09:00 | Connection update   | Networking     | Nickname of 76561199073424187@steam is now 음아잇.
2021-02-06 13:33:18.336 +09:00 | Connection update   | Networking     | 76561198111394844@steam authenticated from endpoint 210.223.164.21:63458. Player ID assigned: 5. Auth token serial number: 7r/7E7jxZkb2OvuE
2021-02-06 13:33:18.370 +09:00 | Connection update   | Networking     | Nickname of 76561198111394844@steam is now 정낑.
2021-02-06 13:33:18.641 +09:00 | Connection update   | Networking     | 76561198379489823@steam authenticated from endpoint 106.248.75.149:57444. Player ID assigned: 6. Auth token serial number: qOtENlpuKEIWBz2N
2021-02-06 13:33:18.675 +09:00 | Connection update   | Networking     | Nickname of 76561198379489823@steam is now 박준형.
2021-02-06 13:33:23.305 +09:00 | Connection update   | Networking     | Goldmilk777 76561198254130933@steam disconnected from IP address 192.168.0.1. Last class: Tutorial (Tutorial)
2021-02-06 13:33:29.195 +09:00 | Connection update   | Networking     | 76561198122172912@steam authenticated from endpoint 112.185.13.251:56010. Player ID assigned: 7. Auth token serial number: eVsanX/2GkdmNWnl
2021-02-06 13:33:29.245 +09:00 | Connection update   | Networking     | Nickname of 76561198122172912@steam is now Tomato Juice.
2021-02-06 13:33:39.942 +09:00 | Game Event          | Logger         | Round has been started.
2021-02-06 13:33:40.953 +09:00 | Game Event          | Class change   | 박준형 (76561198379489823@steam) spawned as Class-D Personnel.
2021-02-06 13:33:40.953 +09:00 | Game Event          | Class change   | 음아잇 (76561199073424187@steam) spawned as SCP-939-89.
2021-02-06 13:33:40.953 +09:00 | Game Event          | Class change   | 정낑 (76561198111394844@steam) spawned as Facility Guard.
2021-02-06 13:33:40.953 +09:00 | Game Event          | Class change   | prthqbdiwvzftk5726 (76561199138508923@steam) spawned as Class-D Personnel.
2021-02-06 13:33:40.953 +09:00 | Game Event          | Class change   | Tomato Juice (76561198122172912@steam) spawned as Scientist.
2021-02-06 13:33:40.956 +09:00 | Game Event          | Logger         | Random classes have been assigned by DCP.
2021-02-06 13:33:40.980 +09:00 | Game Event          | Logger         | Class Picker Result: ClassD | Scp93989 | FacilityGuard | ClassD | Scientist | 
2021-02-06 13:36:37.233 +09:00 | Game Event          | Logger         | Player 정낑 (76561198111394844@steam) threw a flash grenade.
2021-02-06 13:36:40.237 +09:00 | Game Event          | Logger         | Player 정낑 (76561198111394844@steam)'s flash grenade exploded.
2021-02-06 13:36:55.206 +09:00 | Kill                | Class change   | prthqbdiwvzftk5726 (76561199138508923@steam) playing as Class-D Personnel has been killed by DISCONNECT using WALL.
2021-02-06 13:36:55.208 +09:00 | Connection update   | Networking     | prthqbdiwvzftk5726 76561199138508923@steam disconnected from IP address 211.184.142.36. Last class: Spectator (Spectator)
2021-02-06 13:37:44.068 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:50188.
2021-02-06 13:37:52.061 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-06 13:37:52.656 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:50188. Player ID assigned: 8. Auth token serial number: S91XB3OtekrR10GF
2021-02-06 13:37:52.687 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-06 13:37:52.690 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-06 13:38:07.574 +09:00 | Kill                | Class change   | 정낑 (76561198111394844@steam) playing as Facility Guard has been killed by 2721b167-be05-464f-9aa7-131af926952d using TESLA.
2021-02-06 13:38:41.674 +09:00 | Game Event          | Class change   | Player Goldmilk777 (76561198254130933@steam) respawned as ChaosInsurgency.
