2021-02-07 21:49:59.210 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-07 21:50:21.725 +09:00 | Connection update   | Networking     | 76561199112849985@steam preauthenticated from endpoint 211.187.127.126:51267.
2021-02-07 21:50:21.825 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:51218.
2021-02-07 21:50:22.046 +09:00 | Connection update   | Networking     | 76561198956540241@steam preauthenticated from endpoint 175.116.70.90:52609.
2021-02-07 21:50:22.232 +09:00 | Connection update   | Networking     | 76561198827084046@steam preauthenticated from endpoint 125.184.11.46:26171.
2021-02-07 21:50:23.536 +09:00 | Connection update   | Networking     | 76561199074813952@steam preauthenticated from endpoint 112.157.114.246:61359.
2021-02-07 21:50:28.415 +09:00 | Connection update   | Networking     | 76561199112849985@steam authenticated from endpoint 211.187.127.126:51267. Player ID assigned: 2. Auth token serial number: oX9L0Vpr9wZcmboX
2021-02-07 21:50:28.447 +09:00 | Connection update   | Networking     | Nickname of 76561199112849985@steam is now 하고하고.
2021-02-07 21:50:29.528 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:51218. Player ID assigned: 4. Auth token serial number: 4PrU/vhsEPSfIMK1
2021-02-07 21:50:29.562 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-07 21:50:29.572 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-07 21:50:30.059 +09:00 | Connection update   | Networking     | 76561198956540241@steam authenticated from endpoint 175.116.70.90:52609. Player ID assigned: 3. Auth token serial number: ywqPKsUiHG7wBkMw
2021-02-07 21:50:30.104 +09:00 | Connection update   | Networking     | Nickname of 76561198956540241@steam is now 눈사람.
2021-02-07 21:50:30.107 +09:00 | Connection update   | Permissions    | 눈사람 (76561198956540241@steam) has been assigned to group ADMIN.
2021-02-07 21:50:37.945 +09:00 | Connection update   | Networking     | 76561198827084046@steam authenticated from endpoint 125.184.11.46:26171. Player ID assigned: 5. Auth token serial number: WtlaEnigG6CcJzLp
2021-02-07 21:50:37.992 +09:00 | Connection update   | Networking     | Nickname of 76561198827084046@steam is now NOKK_녹크.
2021-02-07 21:50:37.993 +09:00 | Connection update   | Networking     | Player (CharacterClassManager)) connected from IP 125.184.11.46 sent Do Not Track signal.
2021-02-07 21:50:44.076 +09:00 | Connection update   | Networking     | 76561199074813952@steam authenticated from endpoint 112.157.114.246:61359. Player ID assigned: 6. Auth token serial number: DyA2SufKaMXkp0MZ
2021-02-07 21:50:44.190 +09:00 | Connection update   | Networking     | Nickname of 76561199074813952@steam is now 반란 Восстание.
2021-02-07 21:50:44.207 +09:00 | Connection update   | Permissions    | 반란 Восстание (76561199074813952@steam) has been assigned to group ADMIN.
2021-02-07 21:50:56.936 +09:00 | Game Event          | Logger         | Round has been started.
2021-02-07 21:50:57.948 +09:00 | Game Event          | Class change   | 반란 Восстание (76561199074813952@steam) spawned as Class-D Personnel.
2021-02-07 21:50:57.948 +09:00 | Game Event          | Class change   | Goldmilk777 (76561198254130933@steam) spawned as SCP-939-53.
2021-02-07 21:50:57.948 +09:00 | Game Event          | Class change   | 눈사람 (76561198956540241@steam) spawned as Facility Guard.
2021-02-07 21:50:57.948 +09:00 | Game Event          | Class change   | 하고하고 (76561199112849985@steam) spawned as Class-D Personnel.
2021-02-07 21:50:57.948 +09:00 | Game Event          | Class change   | NOKK_녹크 (76561198827084046@steam) spawned as Scientist.
2021-02-07 21:50:57.952 +09:00 | Game Event          | Logger         | Random classes have been assigned by DCP.
2021-02-07 21:50:57.980 +09:00 | Game Event          | Logger         | Class Picker Result: ClassD | Scp93953 | FacilityGuard | ClassD | Scientist | 
2021-02-07 21:51:03.886 +09:00 | Remote Admin        | Class change   | 눈사람 (76561198956540241@steam) ran the forceclass command (ID: 14 - Tutorial) on 2.3. players.
2021-02-07 21:51:12.950 +09:00 | Remote Admin        | Administrative | 반란 Восстание (76561199074813952@steam) ran the give command (ID: 11) on 6. players.
2021-02-07 21:51:15.798 +09:00 | Connection update   | Networking     | 76561198857629393@steam preauthenticated from endpoint 221.141.217.143:54135.
2021-02-07 21:51:15.998 +09:00 | Remote Admin        | Administrative | 반란 Восстание (76561199074813952@steam) ran the give command (ID: 24) on 6. players.
2021-02-07 21:51:17.346 +09:00 | Remote Admin        | Administrative | 반란 Восстание (76561199074813952@steam) ran the give command (ID: 32) on 6. players.
