2021-02-08 13:23:18.165 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-08 13:23:39.043 +09:00 | Connection update   | Networking     | 76561198271723943@steam preauthenticated from endpoint 115.161.221.245:65102.
2021-02-08 13:23:39.053 +09:00 | Connection update   | Networking     | 76561198308894853@steam preauthenticated from endpoint 220.92.149.178:56883.
2021-02-08 13:23:39.340 +09:00 | Connection update   | Networking     | 76561198857629393@steam preauthenticated from endpoint 221.141.217.143:62442.
2021-02-08 13:23:39.508 +09:00 | Connection update   | Networking     | 76561198973350306@steam preauthenticated from endpoint 211.199.49.125:64897.
2021-02-08 13:23:39.532 +09:00 | Connection update   | Networking     | 76561198821465008@steam preauthenticated from endpoint 180.66.36.139:52708.
2021-02-08 13:23:39.566 +09:00 | Connection update   | Networking     | 76561199138508923@steam preauthenticated from endpoint 14.42.132.217:54164.
2021-02-08 13:23:39.676 +09:00 | Connection update   | Networking     | 76561199139320833@steam preauthenticated from endpoint 1.237.8.111:56863.
2021-02-08 13:23:39.679 +09:00 | Connection update   | Networking     | 76561199112849985@steam preauthenticated from endpoint 211.187.127.126:60092.
2021-02-08 13:23:39.682 +09:00 | Connection update   | Networking     | 76561198886433658@steam preauthenticated from endpoint 221.164.61.4:55984.
2021-02-08 13:23:39.710 +09:00 | Connection update   | Networking     | 76561198989486305@steam preauthenticated from endpoint 222.121.210.3:59766.
2021-02-08 13:23:39.794 +09:00 | Connection update   | Networking     | 76561199138794390@steam preauthenticated from endpoint 1.237.8.112:63146.
2021-02-08 13:23:39.797 +09:00 | Connection update   | Networking     | 76561199081368590@steam preauthenticated from endpoint 39.116.43.87:57633.
2021-02-08 13:23:39.830 +09:00 | Connection update   | Networking     | 76561198867457410@steam preauthenticated from endpoint 1.248.253.200:50191.
2021-02-08 13:23:39.980 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:51571.
2021-02-08 13:23:39.983 +09:00 | Connection update   | Networking     | 76561198845313485@steam preauthenticated from endpoint 221.143.67.237:49914.
2021-02-08 13:23:39.986 +09:00 | Connection update   | Networking     | 76561199104929451@steam preauthenticated from endpoint 116.126.89.251:56707.
2021-02-08 13:23:40.004 +09:00 | Connection update   | Networking     | 76561199112011688@steam preauthenticated from endpoint 125.130.124.154:60453.
2021-02-08 13:23:40.115 +09:00 | Connection update   | Networking     | 76561199048022950@steam preauthenticated from endpoint 222.121.210.41:61059.
2021-02-08 13:23:40.134 +09:00 | Connection update   | Networking     | 76561198798739458@steam preauthenticated from endpoint 219.249.156.172:60504.
2021-02-08 13:23:40.254 +09:00 | Connection update   | Networking     | 76561199102794914@steam preauthenticated from endpoint 219.240.106.249:49160.
2021-02-08 13:23:46.518 +09:00 | Connection update   | Networking     | 76561198857629393@steam authenticated from endpoint 221.141.217.143:62442. Player ID assigned: 2. Auth token serial number: srDdM1gijHWuSWEa
2021-02-08 13:23:46.600 +09:00 | Connection update   | Networking     | Nickname of 76561198857629393@steam is now 크리.
2021-02-08 13:23:46.689 +09:00 | Connection update   | Permissions    | 크리 (76561198857629393@steam) has been assigned to group ADMIN.
2021-02-08 13:23:47.163 +09:00 | Connection update   | Networking     | 76561198821465008@steam authenticated from endpoint 180.66.36.139:52708. Player ID assigned: 8. Auth token serial number: 0P7f/xZ61O/JYiG9
2021-02-08 13:23:47.178 +09:00 | Connection update   | Networking     | 76561199112849985@steam authenticated from endpoint 211.187.127.126:60092. Player ID assigned: 7. Auth token serial number: X0fN8NqCue1Z0asO
2021-02-08 13:23:47.212 +09:00 | Connection update   | Networking     | Nickname of 76561198821465008@steam is now 구링.
2021-02-08 13:23:47.223 +09:00 | Connection update   | Networking     | Nickname of 76561199112849985@steam is now 하고하고.
2021-02-08 13:23:47.228 +09:00 | Connection update   | Permissions    | 하고하고 (76561199112849985@steam) has been assigned to group ADMIN.
2021-02-08 13:23:47.242 +09:00 | Connection update   | Networking     | 76561198973350306@steam authenticated from endpoint 211.199.49.125:64897. Player ID assigned: 5. Auth token serial number: dpIOAFTAk/a0aD07
2021-02-08 13:23:47.288 +09:00 | Connection update   | Networking     | Nickname of 76561198973350306@steam is now nuclearfecal matter.
2021-02-08 13:23:47.419 +09:00 | Connection update   | Networking     | 76561198271723943@steam authenticated from endpoint 115.161.221.245:65102. Player ID assigned: 4. Auth token serial number: Wg9qsWy87sM/k1BC
2021-02-08 13:23:47.505 +09:00 | Connection update   | Networking     | Nickname of 76561198271723943@steam is now artsim.
2021-02-08 13:23:47.506 +09:00 | Connection update   | Networking     | Player (CharacterClassManager)) connected from IP 115.161.221.245 sent Do Not Track signal.
2021-02-08 13:23:47.519 +09:00 | Connection update   | Networking     | 76561198308894853@steam authenticated from endpoint 220.92.149.178:56883. Player ID assigned: 3. Auth token serial number: LvwPVs7YyBznkcBm
2021-02-08 13:23:47.614 +09:00 | Connection update   | Networking     | Nickname of 76561198308894853@steam is now 눈누난나.
2021-02-08 13:23:47.991 +09:00 | Connection update   | Networking     | 76561199138794390@steam authenticated from endpoint 1.237.8.112:63146. Player ID assigned: 10. Auth token serial number: tiaTY0N3H0eQMZYk
2021-02-08 13:23:48.042 +09:00 | Connection update   | Networking     | Nickname of 76561199138794390@steam is now a01087465906.
2021-02-08 13:23:48.064 +09:00 | Connection update   | Networking     | 76561199138508923@steam authenticated from endpoint 14.42.132.217:54164. Player ID assigned: 6. Auth token serial number: tpQGWpxsvsxgStdt
2021-02-08 13:23:48.102 +09:00 | Connection update   | Networking     | Nickname of 76561199138508923@steam is now SCP 재단 보호.
2021-02-08 13:23:48.188 +09:00 | Connection update   | Networking     | 76561198886433658@steam authenticated from endpoint 221.164.61.4:55984. Player ID assigned: 12. Auth token serial number: /11306bFuB62dwCX
2021-02-08 13:23:48.255 +09:00 | Connection update   | Networking     | Nickname of 76561198886433658@steam is now suya2835.
2021-02-08 13:23:48.415 +09:00 | Connection update   | Networking     | 76561198989486305@steam authenticated from endpoint 222.121.210.3:59766. Player ID assigned: 13. Auth token serial number: y4lmgPtSrQEwInwE
2021-02-08 13:23:48.469 +09:00 | Connection update   | Networking     | Nickname of 76561198989486305@steam is now 데가하는god뉴비.
