2021-02-08 21:20:28.575 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-08 21:20:37.694 +09:00 | Connection update   | Networking     | 76561199112849985@steam preauthenticated from endpoint 211.187.127.126:51686.
2021-02-08 21:20:37.851 +09:00 | Connection update   | Networking     | 76561198986042822@steam preauthenticated from endpoint 59.22.246.228:53450.
2021-02-08 21:20:37.984 +09:00 | Connection update   | Networking     | 76561199012444004@steam preauthenticated from endpoint 211.109.187.33:59784.
2021-02-08 21:20:37.991 +09:00 | Connection update   | Networking     | 76561198001566801@steam preauthenticated from endpoint 49.168.214.23:65529.
2021-02-08 21:20:37.998 +09:00 | Connection update   | Networking     | 76561198796582012@steam preauthenticated from endpoint 114.204.148.231:64619.
2021-02-08 21:20:38.042 +09:00 | Connection update   | Networking     | 76561198347901294@steam preauthenticated from endpoint 121.187.215.31:51091.
2021-02-08 21:20:38.159 +09:00 | Connection update   | Networking     | 76561198956540241@steam preauthenticated from endpoint 175.116.70.90:51965.
2021-02-08 21:20:38.162 +09:00 | Connection update   | Networking     | 76561198436167182@steam preauthenticated from endpoint 124.57.39.183:53823.
2021-02-08 21:20:38.210 +09:00 | Connection update   | Networking     | 76561199003215516@steam preauthenticated from endpoint 218.147.5.47:52684.
2021-02-08 21:20:38.227 +09:00 | Connection update   | Networking     | 76561199044409090@steam preauthenticated from endpoint 121.184.27.209:61828.
2021-02-08 21:20:38.260 +09:00 | Connection update   | Networking     | 76561199131582985@steam preauthenticated from endpoint 14.39.242.174:60302.
2021-02-08 21:20:38.464 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:55956.
2021-02-08 21:20:38.480 +09:00 | Connection update   | Networking     | 76561199059970572@steam preauthenticated from endpoint 116.33.28.133:59934.
2021-02-08 21:20:38.516 +09:00 | Connection update   | Networking     | 76561199074813952@steam preauthenticated from endpoint 112.157.114.246:50355.
2021-02-08 21:20:38.584 +09:00 | Connection update   | Networking     | 76561199104262415@steam preauthenticated from endpoint 182.209.41.17:61137.
2021-02-08 21:20:44.539 +09:00 | Connection update   | Networking     | 76561199112849985@steam authenticated from endpoint 211.187.127.126:51686. Player ID assigned: 3. Auth token serial number: mU3ft86Kwq9/ttXO
2021-02-08 21:20:44.572 +09:00 | Connection update   | Networking     | Nickname of 76561199112849985@steam is now 하고하고.
2021-02-08 21:20:44.576 +09:00 | Connection update   | Permissions    | 하고하고 (76561199112849985@steam) has been assigned to group ADMIN.
2021-02-08 21:20:44.982 +09:00 | Connection update   | Networking     | 76561198986042822@steam authenticated from endpoint 59.22.246.228:53450. Player ID assigned: 2. Auth token serial number: vZZcPCGIdqsP9Dqe
2021-02-08 21:20:45.036 +09:00 | Connection update   | Networking     | Nickname of 76561198986042822@steam is now POMXC.
2021-02-08 21:20:45.545 +09:00 | Connection update   | Networking     | 76561198796582012@steam authenticated from endpoint 114.204.148.231:64619. Player ID assigned: 4. Auth token serial number: 02FQQyCJJwFQvmGC
2021-02-08 21:20:45.597 +09:00 | Connection update   | Networking     | Nickname of 76561198796582012@steam is now 흐에.
2021-02-08 21:20:45.597 +09:00 | Connection update   | Networking     | Player (CharacterClassManager)) connected from IP 114.204.148.231 sent Do Not Track signal.
2021-02-08 21:20:46.261 +09:00 | Connection update   | Networking     | 76561199003215516@steam authenticated from endpoint 218.147.5.47:52684. Player ID assigned: 5. Auth token serial number: sBHq1vEeiS7ma9QD
2021-02-08 21:20:46.327 +09:00 | Connection update   | Networking     | Nickname of 76561199003215516@steam is now kbs8956.
2021-02-08 21:20:46.376 +09:00 | Connection update   | Networking     | 76561198956540241@steam authenticated from endpoint 175.116.70.90:51965. Player ID assigned: 7. Auth token serial number: FELa6weZNy/T2zpN
