2021-02-08 10:59:12.721 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-08 10:59:23.032 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:57683.
2021-02-08 10:59:23.199 +09:00 | Connection update   | Networking     | 76561198901337879@steam preauthenticated from endpoint 1.228.202.153:60533.
2021-02-08 10:59:23.236 +09:00 | Connection update   | Networking     | 76561199063615883@steam preauthenticated from endpoint 118.44.73.252:64631.
2021-02-08 10:59:23.340 +09:00 | Connection update   | Networking     | 76561199135531099@steam preauthenticated from endpoint 218.232.87.142:63478.
2021-02-08 10:59:23.699 +09:00 | Connection update   | Networking     | 76561198974821365@steam preauthenticated from endpoint 125.187.37.226:52398.
2021-02-08 10:59:31.068 +09:00 | Connection update   | Networking     | 76561199063615883@steam authenticated from endpoint 118.44.73.252:64631. Player ID assigned: 3. Auth token serial number: n5cazT92p4vERZ/4
2021-02-08 10:59:31.085 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:57683. Player ID assigned: 2. Auth token serial number: RUPWePOanWAR8pmp
2021-02-08 10:59:31.117 +09:00 | Connection update   | Networking     | Nickname of 76561199063615883@steam is now 유화 - red.
2021-02-08 10:59:31.124 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-08 10:59:31.127 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-08 10:59:32.252 +09:00 | Connection update   | Networking     | 76561198901337879@steam authenticated from endpoint 1.228.202.153:60533. Player ID assigned: 4. Auth token serial number: U6wRbmIqkAULJrV2
2021-02-08 10:59:32.285 +09:00 | Connection update   | Networking     | Nickname of 76561198901337879@steam is now 그림자 소드.
2021-02-08 10:59:32.389 +09:00 | Connection update   | Networking     | 76561199135531099@steam authenticated from endpoint 218.232.87.142:63478. Player ID assigned: 5. Auth token serial number: NU96EUOlWPmG5Ziv
2021-02-08 10:59:32.437 +09:00 | Connection update   | Networking     | Nickname of 76561199135531099@steam is now hyunlim0324.
2021-02-08 10:59:34.457 +09:00 | Connection update   | Networking     | 76561198974821365@steam authenticated from endpoint 125.187.37.226:52398. Player ID assigned: 6. Auth token serial number: 5C/Fxd4wcUUQ4huU
2021-02-08 10:59:34.490 +09:00 | Connection update   | Networking     | Nickname of 76561198974821365@steam is now 뉴비(컴퓨터 가끔 튕김).
2021-02-08 10:59:55.998 +09:00 | Game Event          | Logger         | Round has been started.
2021-02-08 10:59:57.010 +09:00 | Game Event          | Class change   | 유화 - red (76561199063615883@steam) spawned as Class-D Personnel.
2021-02-08 10:59:57.010 +09:00 | Game Event          | Class change   | Goldmilk777 (76561198254130933@steam) spawned as SCP-096.
2021-02-08 10:59:57.010 +09:00 | Game Event          | Class change   | 뉴비(컴퓨터 가끔 튕김) (76561198974821365@steam) spawned as Facility Guard.
2021-02-08 10:59:57.010 +09:00 | Game Event          | Class change   | hyunlim0324 (76561199135531099@steam) spawned as Class-D Personnel.
2021-02-08 10:59:57.010 +09:00 | Game Event          | Class change   | 그림자 소드 (76561198901337879@steam) spawned as Scientist.
2021-02-08 10:59:57.013 +09:00 | Game Event          | Logger         | Random classes have been assigned by DCP.
2021-02-08 10:59:57.034 +09:00 | Game Event          | Logger         | Class Picker Result: ClassD | Scp096 | FacilityGuard | ClassD | Scientist | 
2021-02-08 11:00:01.372 +09:00 | Remote Admin        | Class change   | Goldmilk777 (76561198254130933@steam) ran the forceclass command (ID: 5 - SCP-049) on 2. players.
2021-02-08 11:00:22.583 +09:00 | Connection update   | Networking     | 76561199123803734@steam preauthenticated from endpoint 220.77.122.70:61772.
2021-02-08 11:00:52.565 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-08 11:00:53.276 +09:00 | Connection update   | Networking     | 76561199123803734@steam authenticated from endpoint 220.77.122.70:61772. Player ID assigned: 7. Auth token serial number: Yq50Mq4JjTYa2RBD
2021-02-08 11:00:53.311 +09:00 | Connection update   | Networking     | Nickname of 76561199123803734@steam is now hony1220.
2021-02-08 11:01:29.710 +09:00 | Connection update   | Networking     | 76561198998918910@steam preauthenticated from endpoint 110.47.66.81:54308.
2021-02-08 11:01:46.554 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-08 11:01:47.552 +09:00 | Connection update   | Networking     | 76561198998918910@steam authenticated from endpoint 110.47.66.81:54308. Player ID assigned: 8. Auth token serial number: 0wSHC0iOJ6KMwqie
2021-02-08 11:01:47.566 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-08 11:01:47.586 +09:00 | Connection update   | Networking     | Nickname of 76561198998918910@steam is now young044.
2021-02-08 11:01:55.921 +09:00 | Connection update   | Networking     | 76561199137234151@steam preauthenticated from endpoint 1.248.81.141:56286.
2021-02-08 11:02:03.580 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-08 11:02:04.057 +09:00 | Connection update   | Networking     | 76561199137234151@steam authenticated from endpoint 1.248.81.141:56286. Player ID assigned: 9. Auth token serial number: AkgtrvDsUuoUdT70
2021-02-08 11:02:04.097 +09:00 | Connection update   | Networking     | Nickname of 76561199137234151@steam is now rewq4195.
2021-02-08 11:02:14.641 +09:00 | Game Event          | Logger         | Player 그림자 소드 (76561198901337879@steam) threw a SCP-018 grenade.
2021-02-08 11:02:29.872 +09:00 | Game Event          | Logger         | Player 그림자 소드 (76561198901337879@steam)'s SCP-018 grenade exploded.
2021-02-08 11:03:01.779 +09:00 | Kill                | Class change   | hyunlim0324 (76561199135531099@steam) playing as Class-D Personnel has been killed by Goldmilk777 (76561198254130933@steam) using SCP-049 playing as SCP-049.
2021-02-08 11:04:39.144 +09:00 | Connection update   | Networking     | 76561198861881553@steam preauthenticated from endpoint 180.66.86.18:62168.
2021-02-08 11:04:51.901 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-08 11:04:52.894 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-08 11:04:53.050 +09:00 | Connection update   | Networking     | 76561198861881553@steam authenticated from endpoint 180.66.86.18:62168. Player ID assigned: 10. Auth token serial number: AmXZ6wiNN44TlGrd
2021-02-08 11:04:53.085 +09:00 | Connection update   | Networking     | Nickname of 76561198861881553@steam is now 김요맨.
2021-02-08 11:04:59.945 +09:00 | Connection update   | Networking     | 76561199104929451@steam preauthenticated from endpoint 116.126.89.251:49385.
2021-02-08 11:05:10.221 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-08 11:05:11.098 +09:00 | Connection update   | Networking     | 76561199104929451@steam authenticated from endpoint 116.126.89.251:49385. Player ID assigned: 11. Auth token serial number: of0beTjjNc9A7Qmc
2021-02-08 11:05:11.145 +09:00 | Connection update   | Networking     | Nickname of 76561199104929451@steam is now sch070130.
2021-02-08 11:05:14.429 +09:00 | Kill                | Class change   | hyunlim0324 (76561199135531099@steam) playing as SCP-049-2 has been killed by 그림자 소드 (76561198901337879@steam) using E11 Standard Rifle playing as Nine-Tailed Fox Scientist.
2021-02-08 11:05:14.705 +09:00 | Game Event          | Class change   | Player hony1220 (76561199123803734@steam) respawned as NtfCommander.
2021-02-08 11:05:14.711 +09:00 | Game Event          | Class change   | Player young044 (76561198998918910@steam) respawned as NtfLieutenant.
2021-02-08 11:05:14.716 +09:00 | Game Event          | Class change   | Player rewq4195 (76561199137234151@steam) respawned as NtfLieutenant.
2021-02-08 11:05:14.723 +09:00 | Game Event          | Class change   | Player hyunlim0324 (76561199135531099@steam) respawned as NtfLieutenant.
2021-02-08 11:05:14.729 +09:00 | Game Event          | Class change   | Player sch070130 (76561199104929451@steam) respawned as NtfCadet.
2021-02-08 11:05:14.736 +09:00 | Game Event          | Class change   | Player 김요맨 (76561198861881553@steam) respawned as NtfCadet.
2021-02-08 11:05:14.736 +09:00 | Game Event          | Class change   | RespawnManager has successfully spawned 6 players as NineTailedFox!
2021-02-08 11:05:22.915 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) ran the goto command on 3 players.
2021-02-08 11:05:33.940 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) ran the noclip command (new status: enable) on 2. players.
2021-02-08 11:05:42.653 +09:00 | Kill                | Class change   | Goldmilk777 (76561198254130933@steam) playing as SCP-049 has been killed by *You have exceeded the teleportation limit and we couldn't find a safe position near your location.
(debug code: A.3) using Flying detection.
2021-02-08 11:06:00.999 +09:00 | Connection update   | Networking     | 76561199112849985@steam preauthenticated from endpoint 211.187.127.126:49997.
2021-02-08 11:06:07.759 +09:00 | Kill                | Class change   | 뉴비(컴퓨터 가끔 튕김) (76561198974821365@steam) playing as Facility Guard has been killed by 유화 - red (76561199063615883@steam) using Logicier playing as Class-D Personnel.
