2021-02-05 17:50:44.973 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-05 17:50:56.713 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by DISCONNECT using WALL.
2021-02-05 17:50:56.714 +09:00 | Connection update   | Networking     | (null) (no ID) disconnected from IP address 122.47.253.247. Last class: None (NOT SPAWNED)
2021-02-05 17:50:59.244 +09:00 | Connection update   | Networking     | 76561198956540241@steam preauthenticated from endpoint 175.116.70.90:57188.
2021-02-05 17:51:06.819 +09:00 | Connection update   | Networking     | 76561198956540241@steam authenticated from endpoint 175.116.70.90:57188. Player ID assigned: 3. Auth token serial number: 2UibjDoTclFMFD/2
2021-02-05 17:51:06.852 +09:00 | Connection update   | Networking     | Nickname of 76561198956540241@steam is now 눈사람.
2021-02-05 17:51:06.857 +09:00 | Connection update   | Permissions    | 눈사람 (76561198956540241@steam) has been assigned to group ADMIN.
2021-02-05 17:51:08.800 +09:00 | Connection update   | Networking     | 76561199043653385@steam preauthenticated from endpoint 122.47.253.247:63173.
2021-02-05 17:51:16.614 +09:00 | Connection update   | Networking     | 76561199043653385@steam authenticated from endpoint 122.47.253.247:63173. Player ID assigned: 4. Auth token serial number: sOiiT60E/miIN8Hr
2021-02-05 17:51:16.666 +09:00 | Connection update   | Networking     | Nickname of 76561199043653385@steam is now 성질이.
2021-02-05 17:51:32.902 +09:00 | Connection update   | Networking     | 성질이 76561199043653385@steam disconnected from IP address 122.47.253.247. Last class: Tutorial (Tutorial)
2021-02-05 17:52:11.050 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:51771.
2021-02-05 17:52:32.319 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:51771. Player ID assigned: 5. Auth token serial number: Vh2nqTCBHUUr/dqu
2021-02-05 17:52:32.335 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-05 17:52:32.340 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-05 17:52:42.771 +09:00 | Remote Admin        | Class change   | 눈사람 (76561198956540241@steam) ran the overwatch command (new status: 0) on  players.
2021-02-05 17:52:46.846 +09:00 | Remote Admin        | Class change   | 눈사람 (76561198956540241@steam) ran the overwatch command (new status: 0) on 3. players.
2021-02-05 17:52:52.955 +09:00 | Game Event          | Logger         | Round has been started.
2021-02-05 17:52:53.964 +09:00 | Game Event          | Class change   | Goldmilk777 (76561198254130933@steam) spawned as Class-D Personnel.
2021-02-05 17:52:53.964 +09:00 | Game Event          | Class change   | 눈사람 (76561198956540241@steam) spawned as SCP-173.
2021-02-05 17:52:53.966 +09:00 | Game Event          | Logger         | Random classes have been assigned by DCP.
2021-02-05 17:52:53.972 +09:00 | Game Event          | Logger         | Class Picker Result: ClassD | Scp173 | 
2021-02-05 17:53:09.498 +09:00 | Remote Admin        | Class change   | 눈사람 (76561198956540241@steam) ran the forceclass command (ID: 1 - Class-D Personnel) on 3. players.
2021-02-05 17:53:12.683 +09:00 | Remote Admin        | Administrative | 눈사람 (76561198956540241@steam) ran the goto command on 5 players.
2021-02-05 17:53:46.620 +09:00 | Remote Admin        | Class change   | Goldmilk777 (76561198254130933@steam) ran the forceclass command (ID: 16 - SCP-939-53) on 5. players.
2021-02-05 17:53:47.005 +09:00 | Remote Admin        | Class change   | Goldmilk777 (76561198254130933@steam) ran the forceclass command (ID: 16 - SCP-939-53) on 5. players.
2021-02-05 17:53:59.151 +09:00 | Remote Admin        | Administrative | 눈사람 (76561198956540241@steam) ran the goto command on 5 players.
2021-02-05 17:54:08.281 +09:00 | Remote Admin        | Administrative | 눈사람 (76561198956540241@steam) ran the give command (ID: 24) on 3. players.
2021-02-05 17:54:08.482 +09:00 | Remote Admin        | Class change   | Goldmilk777 (76561198254130933@steam) ran the forceclass command (ID: 2 - Spectator) on 3. players.
2021-02-05 17:54:08.574 +09:00 | Game Event          | Logger         | Round finished! Anomalies: 1 | Chaos: 0 | Facility Forces: 0 | D escaped percentage: 0 | S escaped percentage: : 1
2021-02-05 17:54:09.022 +09:00 | Remote Admin        | Class change   | Goldmilk777 (76561198254130933@steam) ran the forceclass command (ID: 2 - Spectator) on 3. players.
2021-02-05 17:54:15.038 +09:00 | Kill                | Class change   | Goldmilk777 (76561198254130933@steam) playing as SCP-939-53 has been killed by DISCONNECT using WALL.
2021-02-05 17:54:15.039 +09:00 | Connection update   | Networking     | Goldmilk777 76561198254130933@steam disconnected from IP address 192.168.0.1. Last class: Spectator (Spectator)
2021-02-05 17:54:19.931 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:62844.
2021-02-05 17:54:20.611 +09:00 | Kill                | Class change   | 눈사람 (76561198956540241@steam) playing as SCP-939-53 has been killed by DISCONNECT using WALL.
2021-02-05 17:54:20.614 +09:00 | Connection update   | Networking     | 눈사람 76561198956540241@steam disconnected from IP address 175.116.70.90. Last class: Spectator (Spectator)
