2021-02-07 17:44:55.987 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-07 17:45:17.500 +09:00 | Connection update   | Networking     | 76561198853672150@steam preauthenticated from endpoint 14.32.210.4:54741.
2021-02-07 17:45:17.698 +09:00 | Connection update   | Networking     | 76561199070035492@steam preauthenticated from endpoint 218.146.128.138:59593.
2021-02-07 17:45:17.715 +09:00 | Connection update   | Networking     | 76561198796582012@steam preauthenticated from endpoint 114.204.148.231:63804.
2021-02-07 17:45:17.749 +09:00 | Connection update   | Networking     | 76561199065590929@steam preauthenticated from endpoint 218.232.52.205:59464.
2021-02-07 17:45:17.767 +09:00 | Connection update   | Networking     | 76561199134469557@steam preauthenticated from endpoint 111.91.153.136:54214.
2021-02-07 17:45:18.101 +09:00 | Connection update   | Networking     | 76561198883113047@steam preauthenticated from endpoint 175.118.216.172:55715.
2021-02-07 17:45:18.168 +09:00 | Connection update   | Networking     | 76561198821550614@steam preauthenticated from endpoint 14.51.240.51:54634.
2021-02-07 17:45:18.252 +09:00 | Connection update   | Networking     | 76561199012319606@steam preauthenticated from endpoint 1.224.7.101:52236.
2021-02-07 17:45:18.287 +09:00 | Connection update   | Networking     | 76561199018230664@steam preauthenticated from endpoint 39.113.212.213:56837.
2021-02-07 17:45:18.337 +09:00 | Connection update   | Networking     | 76561198962762118@steam preauthenticated from endpoint 121.145.80.125:54776.
2021-02-07 17:45:18.344 +09:00 | Connection update   | Networking     | 76561198996368246@steam preauthenticated from endpoint 118.216.46.95:52598.
2021-02-07 17:45:18.368 +09:00 | Connection update   | Networking     | 76561198832702639@steam preauthenticated from endpoint 27.113.19.137:60793.
2021-02-07 17:45:18.396 +09:00 | Connection update   | Networking     | 76561199064186018@steam preauthenticated from endpoint 118.41.14.183:57471.
2021-02-07 17:45:18.530 +09:00 | Connection update   | Networking     | 76561198976199836@steam preauthenticated from endpoint 210.91.146.26:62603.
2021-02-07 17:45:18.533 +09:00 | Connection update   | Networking     | 76561199070020094@steam preauthenticated from endpoint 211.32.202.21:50057.
2021-02-07 17:45:19.051 +09:00 | Connection update   | Networking     | 76561198436167182@steam preauthenticated from endpoint 124.57.39.183:60096.
2021-02-07 17:45:19.136 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:53767.
2021-02-07 17:45:19.190 +09:00 | Connection update   | Networking     | 76561198190661290@steam preauthenticated from endpoint 121.186.194.160:54517.
2021-02-07 17:45:19.231 +09:00 | Connection update   | Networking     | 76561199087358210@steam preauthenticated from endpoint 61.253.118.21:58279.
2021-02-07 17:45:19.257 +09:00 | Connection update   | Networking     | 76561199136886762@steam preauthenticated from endpoint 58.228.8.152:49477.
2021-02-07 17:45:19.279 +09:00 | Connection update   | Networking     | 76561199104262415@steam preauthenticated from endpoint 182.209.41.17:50796.
2021-02-07 17:45:19.565 +09:00 | Connection update   | Networking     | 76561199074813952@steam preauthenticated from endpoint 112.157.114.246:61442.
2021-02-07 17:45:19.572 +09:00 | Connection update   | Networking     | 76561199059970572@steam preauthenticated from endpoint 116.33.28.133:57827.
2021-02-07 17:45:19.701 +09:00 | Connection update   | Networking     | 76561198113149907@steam preauthenticated from endpoint 119.203.61.62:53246.
2021-02-07 17:45:25.383 +09:00 | Connection update   | Networking     | 76561199134469557@steam authenticated from endpoint 111.91.153.136:54214. Player ID assigned: 5. Auth token serial number: NaOc9xo4p8af1zDO
2021-02-07 17:45:25.433 +09:00 | Connection update   | Networking     | Nickname of 76561199134469557@steam is now scp9935.
2021-02-07 17:45:26.090 +09:00 | Connection update   | Networking     | 76561198821550614@steam authenticated from endpoint 14.51.240.51:54634. Player ID assigned: 9. Auth token serial number: QvtYpyC1LcpxdFgV
2021-02-07 17:45:26.139 +09:00 | Connection update   | Networking     | Nickname of 76561198821550614@steam is now OㅁO.
2021-02-07 17:45:26.385 +09:00 | Connection update   | Networking     | 76561198883113047@steam authenticated from endpoint 175.118.216.172:55715. Player ID assigned: 7. Auth token serial number: NuqRLgQRj8gRBGK3
2021-02-07 17:45:26.484 +09:00 | Connection update   | Networking     | Nickname of 76561198883113047@steam is now 황구.
2021-02-07 17:45:26.484 +09:00 | Connection update   | Networking     | Player (CharacterClassManager)) connected from IP 175.118.216.172 sent Do Not Track signal.
2021-02-07 17:45:30.044 +09:00 | Connection update   | Networking     | 76561199122772457@steam preauthenticated from endpoint 223.219.121.119:59758.
2021-02-07 17:45:33.647 +09:00 | Connection update   | Networking     | 76561199070020094@steam authenticated from endpoint 211.32.202.21:50057. Player ID assigned: 13. Auth token serial number: qSoqNs14ubSYlHh1
2021-02-07 17:45:33.679 +09:00 | Connection update   | Networking     | Nickname of 76561199070020094@steam is now Eternal.
2021-02-07 17:45:33.687 +09:00 | Connection update   | Networking     | 76561199065590929@steam authenticated from endpoint 218.232.52.205:59464. Player ID assigned: 6. Auth token serial number: G1nMfLdIHqt5UJqS
2021-02-07 17:45:33.718 +09:00 | Connection update   | Networking     | 76561198962762118@steam authenticated from endpoint 121.145.80.125:54776. Player ID assigned: 16. Auth token serial number: xoAb9v0GBjPy1vdJ
2021-02-07 17:45:33.733 +09:00 | Connection update   | Networking     | Nickname of 76561199065590929@steam is now haha2884.
2021-02-07 17:45:33.762 +09:00 | Connection update   | Networking     | Nickname of 76561198962762118@steam is now bosung6332.
2021-02-07 17:45:33.819 +09:00 | Connection update   | Networking     | 76561199070035492@steam authenticated from endpoint 218.146.128.138:59593. Player ID assigned: 4. Auth token serial number: E96H6jqDWV8/7XfM
2021-02-07 17:45:33.877 +09:00 | Connection update   | Networking     | Nickname of 76561199070035492@steam is now 학살자.
