2021-02-05 16:14:43.370 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-05 16:14:51.658 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:64030.
2021-02-05 16:14:51.939 +09:00 | Connection update   | Networking     | 76561198956540241@steam preauthenticated from endpoint 175.116.70.90:56880.
2021-02-05 16:14:52.029 +09:00 | Connection update   | Networking     | 76561198971665244@steam preauthenticated from endpoint 183.108.197.153:61455.
2021-02-05 16:14:59.946 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:64030. Player ID assigned: 2. Auth token serial number: ITZTzfGiLeDnA94a
2021-02-05 16:14:59.991 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-05 16:14:59.997 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-05 16:15:00.282 +09:00 | Connection update   | Networking     | 76561198956540241@steam authenticated from endpoint 175.116.70.90:56880. Player ID assigned: 3. Auth token serial number: lC5u52w5GzFf9VDD
2021-02-05 16:15:00.343 +09:00 | Connection update   | Networking     | Nickname of 76561198956540241@steam is now 눈사람.
2021-02-05 16:15:00.348 +09:00 | Connection update   | Permissions    | 눈사람 (76561198956540241@steam) has been assigned to group ADMIN.
2021-02-05 16:15:05.717 +09:00 | Connection update   | Networking     | 76561198971665244@steam authenticated from endpoint 183.108.197.153:61455. Player ID assigned: 4. Auth token serial number: hPhS/4H2DXJGEo2n
2021-02-05 16:15:05.764 +09:00 | Connection update   | Networking     | Nickname of 76561198971665244@steam is now 강지훈.
2021-02-05 16:15:23.835 +09:00 | Game Event          | Logger         | Round has been started.
2021-02-05 16:15:24.848 +09:00 | Game Event          | Class change   | 강지훈 (76561198971665244@steam) spawned as Class-D Personnel.
2021-02-05 16:15:24.848 +09:00 | Game Event          | Class change   | Goldmilk777 (76561198254130933@steam) spawned as SCP-096.
2021-02-05 16:15:24.848 +09:00 | Game Event          | Class change   | 눈사람 (76561198956540241@steam) spawned as Facility Guard.
2021-02-05 16:15:24.851 +09:00 | Game Event          | Logger         | Random classes have been assigned by DCP.
2021-02-05 16:15:24.865 +09:00 | Game Event          | Logger         | Class Picker Result: ClassD | Scp096 | FacilityGuard | 
2021-02-05 16:18:20.036 +09:00 | Game Event          | Logger         | Player 눈사람 (76561198956540241@steam) threw a flash grenade.
2021-02-05 16:18:24.296 +09:00 | Game Event          | Logger         | Player 눈사람 (76561198956540241@steam)'s flash grenade exploded.
2021-02-05 16:18:39.081 +09:00 | Connection update   | Networking     | 76561198802108633@steam preauthenticated from endpoint 211.187.29.189:23850.
2021-02-05 16:18:51.962 +09:00 | Connection update   | Networking     | 76561198802108633@steam authenticated from endpoint 211.187.29.189:23850. Player ID assigned: 5. Auth token serial number: ExVSIxuqjRUeRHq8
2021-02-05 16:18:52.029 +09:00 | Connection update   | Networking     | Nickname of 76561198802108633@steam is now 국산비둘기.
2021-02-05 16:18:52.029 +09:00 | Connection update   | Networking     | Player (CharacterClassManager)) connected from IP 211.187.29.189 sent Do Not Track signal.
2021-02-05 16:19:22.054 +09:00 | Connection update   | Networking     | 76561198977674267@steam preauthenticated from endpoint 114.200.216.224:64219.
2021-02-05 16:19:43.594 +09:00 | Game Event          | Warhead        | 눈사람 (76561198956540241@steam) set the Alpha Warhead status to True.
2021-02-05 16:19:48.676 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-05 16:19:49.570 +09:00 | Connection update   | Networking     | 76561198977674267@steam authenticated from endpoint 114.200.216.224:64219. Player ID assigned: 6. Auth token serial number: FD/90DmmqwAa/Skt
2021-02-05 16:19:49.621 +09:00 | Connection update   | Networking     | Nickname of 76561198977674267@steam is now 개떡같네.
2021-02-05 16:20:26.847 +09:00 | Connection update   | Networking     | 개떡같네 76561198977674267@steam disconnected from IP address 114.200.216.224. Last class: Spectator (Spectator)
2021-02-05 16:21:12.816 +09:00 | Game Event          | Class change   | Player 국산비둘기 (76561198802108633@steam) respawned as NtfCommander.
2021-02-05 16:21:12.816 +09:00 | Game Event          | Class change   | RespawnManager has successfully spawned 1 players as NineTailedFox!
2021-02-05 16:21:39.588 +09:00 | Game Event          | Logger         | Player 눈사람 (76561198956540241@steam) threw a frag grenade.
2021-02-05 16:21:44.326 +09:00 | Game Event          | Logger         | Player 눈사람 (76561198956540241@steam)'s frag grenade exploded.
