2021-02-08 14:00:47.318 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-08 14:00:58.554 +09:00 | Connection update   | Networking     | 76561199061752679@steam preauthenticated from endpoint 39.124.100.80:59056.
2021-02-08 14:00:58.705 +09:00 | Connection update   | Networking     | 76561199049341214@steam preauthenticated from endpoint 175.113.6.103:49535.
2021-02-08 14:00:58.824 +09:00 | Connection update   | Networking     | 76561198857629393@steam preauthenticated from endpoint 221.141.217.143:59838.
2021-02-08 14:00:59.094 +09:00 | Connection update   | Networking     | 76561198973350306@steam preauthenticated from endpoint 211.199.49.125:62754.
2021-02-08 14:00:59.128 +09:00 | Connection update   | Networking     | 76561199120350243@steam preauthenticated from endpoint 220.122.243.142:58246.
2021-02-08 14:00:59.178 +09:00 | Connection update   | Networking     | 76561199062293441@steam preauthenticated from endpoint 117.53.203.194:58213.
2021-02-08 14:00:59.312 +09:00 | Connection update   | Networking     | 76561198821465008@steam preauthenticated from endpoint 180.66.36.139:57657.
2021-02-08 14:00:59.346 +09:00 | Connection update   | Networking     | 76561198886433658@steam preauthenticated from endpoint 221.164.61.4:56936.
2021-02-08 14:00:59.515 +09:00 | Connection update   | Networking     | 76561199081368590@steam preauthenticated from endpoint 39.116.43.87:56083.
2021-02-08 14:00:59.632 +09:00 | Connection update   | Networking     | 76561199095867920@steam preauthenticated from endpoint 119.198.123.49:53772.
2021-02-08 14:00:59.683 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:60215.
2021-02-08 14:00:59.718 +09:00 | Connection update   | Networking     | 76561199074813952@steam preauthenticated from endpoint 112.157.114.246:51473.
2021-02-08 14:00:59.903 +09:00 | Connection update   | Networking     | 76561199112011688@steam preauthenticated from endpoint 125.130.124.154:60028.
2021-02-08 14:00:59.923 +09:00 | Connection update   | Networking     | 76561199104929451@steam preauthenticated from endpoint 116.126.89.251:53102.
2021-02-08 14:01:00.097 +09:00 | Connection update   | Networking     | 76561199099057757@steam preauthenticated from endpoint 59.11.191.194:63707.
2021-02-08 14:01:00.467 +09:00 | Connection update   | Networking     | 76561199102794914@steam preauthenticated from endpoint 219.240.106.249:59576.
2021-02-08 14:01:01.416 +09:00 | Connection update   | Networking     | 76561199114210484@steam preauthenticated from endpoint 211.213.169.105:54185.
2021-02-08 14:01:05.399 +09:00 | Connection update   | Networking     | 76561199061752679@steam authenticated from endpoint 39.124.100.80:59056. Player ID assigned: 2. Auth token serial number: TLZjnGlo4TbVBOlH
2021-02-08 14:01:05.434 +09:00 | Connection update   | Networking     | Nickname of 76561199061752679@steam is now shsjhh.
2021-02-08 14:01:05.818 +09:00 | Connection update   | Networking     | 76561199049341214@steam authenticated from endpoint 175.113.6.103:49535. Player ID assigned: 3. Auth token serial number: p/e1UvLXNBqBMxI6
2021-02-08 14:01:05.855 +09:00 | Connection update   | Networking     | Nickname of 76561199049341214@steam is now DSJ154.
2021-02-08 14:01:06.263 +09:00 | Connection update   | Networking     | 76561198857629393@steam authenticated from endpoint 221.141.217.143:59838. Player ID assigned: 4. Auth token serial number: KeOkQlHvn4NkoM27
2021-02-08 14:01:06.284 +09:00 | Connection update   | Networking     | 76561199062293441@steam authenticated from endpoint 117.53.203.194:58213. Player ID assigned: 5. Auth token serial number: JXHsXtz60EO4jKdr
2021-02-08 14:01:06.301 +09:00 | Connection update   | Networking     | Nickname of 76561198857629393@steam is now 크리.
2021-02-08 14:01:06.305 +09:00 | Connection update   | Permissions    | 크리 (76561198857629393@steam) has been assigned to group ADMIN.
2021-02-08 14:01:06.337 +09:00 | Connection update   | Networking     | Nickname of 76561199062293441@steam is now Marshall Lee.
2021-02-08 14:01:06.337 +09:00 | Connection update   | Networking     | Player (CharacterClassManager)) connected from IP 117.53.203.194 sent Do Not Track signal.
2021-02-08 14:01:07.074 +09:00 | Connection update   | Networking     | 76561198973350306@steam authenticated from endpoint 211.199.49.125:62754. Player ID assigned: 6. Auth token serial number: fwA1v9xha12TPwCR
2021-02-08 14:01:07.156 +09:00 | Connection update   | Networking     | Nickname of 76561198973350306@steam is now nuclearfecal matter.
2021-02-08 14:01:07.820 +09:00 | Connection update   | Networking     | 76561198821465008@steam authenticated from endpoint 180.66.36.139:57657. Player ID assigned: 7. Auth token serial number: 7RF4dL2eyynSZdwt
2021-02-08 14:01:07.868 +09:00 | Connection update   | Networking     | Nickname of 76561198821465008@steam is now 구링.
2021-02-08 14:01:08.036 +09:00 | Connection update   | Networking     | 76561199095867920@steam authenticated from endpoint 119.198.123.49:53772. Player ID assigned: 10. Auth token serial number: VAyFNVEYseC742Fg
2021-02-08 14:01:08.070 +09:00 | Connection update   | Networking     | Nickname of 76561199095867920@steam is now gimgeonleol.
2021-02-08 14:01:08.088 +09:00 | Connection update   | Networking     | 76561198886433658@steam authenticated from endpoint 221.164.61.4:56936. Player ID assigned: 8. Auth token serial number: CKNXDEj4155T0z1f
2021-02-08 14:01:08.162 +09:00 | Connection update   | Networking     | Nickname of 76561198886433658@steam is now suya2835.
2021-02-08 14:01:08.222 +09:00 | Connection update   | Networking     | 76561199112011688@steam authenticated from endpoint 125.130.124.154:60028. Player ID assigned: 9. Auth token serial number: 12jxNIy11hP7MejT
2021-02-08 14:01:08.257 +09:00 | Connection update   | Networking     | Nickname of 76561199112011688@steam is now 땅콩이 장인(마이크X).
2021-02-08 14:01:08.844 +09:00 | Connection update   | Networking     | 76561199120350243@steam authenticated from endpoint 220.122.243.142:58246. Player ID assigned: 11. Auth token serial number: pqbZirbX2vKWtGuo
2021-02-08 14:01:08.912 +09:00 | Connection update   | Networking     | Nickname of 76561199120350243@steam is now shzhshjbsxish.
2021-02-08 14:01:09.555 +09:00 | Connection update   | Networking     | 76561199104929451@steam authenticated from endpoint 116.126.89.251:53102. Player ID assigned: 15. Auth token serial number: Si/gfBLsY05Vw7ne
2021-02-08 14:01:09.606 +09:00 | Connection update   | Networking     | Nickname of 76561199104929451@steam is now sch070130.
2021-02-08 14:01:09.844 +09:00 | Connection update   | Networking     | 76561199081368590@steam authenticated from endpoint 39.116.43.87:56083. Player ID assigned: 12. Auth token serial number: h3xXT8qVIO379wAR
2021-02-08 14:01:09.873 +09:00 | Connection update   | Networking     | 76561199074813952@steam authenticated from endpoint 112.157.114.246:51473. Player ID assigned: 13. Auth token serial number: TmAORY9dv8JBGyXU
2021-02-08 14:01:09.892 +09:00 | Connection update   | Networking     | Nickname of 76561199081368590@steam is now I'm so cut ><.
2021-02-08 14:01:09.892 +09:00 | Connection update   | Networking     | Player (CharacterClassManager)) connected from IP 39.116.43.87 sent Do Not Track signal.
2021-02-08 14:01:09.946 +09:00 | Connection update   | Networking     | Nickname of 76561199074813952@steam is now 반란 Восстание.
2021-02-08 14:01:09.951 +09:00 | Connection update   | Permissions    | 반란 Восстание (76561199074813952@steam) has been assigned to group ADMIN.
2021-02-08 14:01:10.327 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:60215. Player ID assigned: 14. Auth token serial number: awI0zP9NLyBeDsz0
2021-02-08 14:01:10.393 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-08 14:01:10.396 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-08 14:01:11.859 +09:00 | Connection update   | Networking     | 76561199102794914@steam authenticated from endpoint 219.240.106.249:59576. Player ID assigned: 16. Auth token serial number: aZ95wtT3IglLZTi5
2021-02-08 14:01:11.980 +09:00 | Connection update   | Networking     | Nickname of 76561199102794914@steam is now ながみさくら.
2021-02-08 14:01:13.278 +09:00 | Connection update   | Networking     | 76561199099057757@steam authenticated from endpoint 59.11.191.194:63707. Player ID assigned: 17. Auth token serial number: gAZzbpMw93UL6Bxz
2021-02-08 14:01:13.310 +09:00 | Connection update   | Networking     | Nickname of 76561199099057757@steam is now 프로틴.
2021-02-08 14:01:14.759 +09:00 | Connection update   | Networking     | 76561199114210484@steam authenticated from endpoint 211.213.169.105:54185. Player ID assigned: 18. Auth token serial number: Ef6HnQn4zFM4UiIq
2021-02-08 14:01:14.791 +09:00 | Connection update   | Networking     | Nickname of 76561199114210484@steam is now fu4dufy.
2021-02-08 14:01:16.184 +09:00 | Connection update   | Networking     | ながみさくら 76561199102794914@steam disconnected from IP address 219.240.106.249. Last class: Scp93953 (SCP-939-53)
2021-02-08 14:01:28.543 +09:00 | Remote Admin        | Class change   | Goldmilk777 (76561198254130933@steam) ran the overwatch command (new status: 0) on 14. players.
2021-02-08 14:01:37.003 +09:00 | Game Event          | Logger         | Round has been started.
2021-02-08 14:01:38.010 +09:00 | Game Event          | Class change   | I'm so cut ＞＜ (76561199081368590@steam) spawned as Class-D Personnel.
2021-02-08 14:01:38.010 +09:00 | Game Event          | Class change   | shsjhh (76561199061752679@steam) spawned as SCP-939-53.
2021-02-08 14:01:38.010 +09:00 | Game Event          | Class change   | shzhshjbsxish (76561199120350243@steam) spawned as Facility Guard.
2021-02-08 14:01:38.010 +09:00 | Game Event          | Class change   | suya2835 (76561198886433658@steam) spawned as Class-D Personnel.
2021-02-08 14:01:38.010 +09:00 | Game Event          | Class change   | 프로틴 (76561199099057757@steam) spawned as Scientist.
2021-02-08 14:01:38.010 +09:00 | Game Event          | Class change   | nuclearfecal matter (76561198973350306@steam) spawned as Facility Guard.
2021-02-08 14:01:38.010 +09:00 | Game Event          | Class change   | Goldmilk777 (76561198254130933@steam) spawned as Class-D Personnel.
2021-02-08 14:01:38.010 +09:00 | Game Event          | Class change   | DSJ154 (76561199049341214@steam) spawned as SCP-079.
2021-02-08 14:01:38.010 +09:00 | Game Event          | Class change   | fu4dufy (76561199114210484@steam) spawned as Scientist.
2021-02-08 14:01:38.010 +09:00 | Game Event          | Class change   | sch070130 (76561199104929451@steam) spawned as Facility Guard.
2021-02-08 14:01:38.010 +09:00 | Game Event          | Class change   | 땅콩이 장인(마이크X) (76561199112011688@steam) spawned as Class-D Personnel.
2021-02-08 14:01:38.010 +09:00 | Game Event          | Class change   | Marshall Lee (76561199062293441@steam) spawned as Class-D Personnel.
2021-02-08 14:01:38.010 +09:00 | Game Event          | Class change   | 반란 Восстание (76561199074813952@steam) spawned as Facility Guard.
2021-02-08 14:01:38.010 +09:00 | Game Event          | Class change   | gimgeonleol (76561199095867920@steam) spawned as Class-D Personnel.
2021-02-08 14:01:38.010 +09:00 | Game Event          | Class change   | 구링 (76561198821465008@steam) spawned as SCP-096.
2021-02-08 14:01:38.010 +09:00 | Game Event          | Class change   | 크리 (76561198857629393@steam) spawned as Class-D Personnel.
2021-02-08 14:01:38.014 +09:00 | Game Event          | Logger         | Random classes have been assigned by DCP.
2021-02-08 14:01:38.087 +09:00 | Game Event          | Logger         | Class Picker Result: ClassD | Scp93953 | FacilityGuard | ClassD | Scientist | FacilityGuard | ClassD | Scp079 | Scientist | FacilityGuard | ClassD | ClassD | FacilityGuard | ClassD | Scp096 | ClassD | 
2021-02-08 14:01:51.509 +09:00 | Connection update   | Networking     | nuclearfecal matter 76561198973350306@steam disconnected from IP address 211.199.49.125. Last class: FacilityGuard (Facility Guard)
2021-02-08 14:02:25.613 +09:00 | Kill                | Class change   | I'm so cut ＞＜ (76561199081368590@steam) playing as Class-D Personnel has been killed by WORLD using FALLDOWN.
2021-02-08 14:02:40.320 +09:00 | Connection update   | Networking     | 76561198363711668@steam preauthenticated from endpoint 218.238.121.92:65202.
2021-02-08 14:02:42.892 +09:00 | Kill                | Class change   | 프로틴 (76561199099057757@steam) playing as Scientist has been killed by Marshall Lee (76561199062293441@steam) using Com15 playing as Class-D Personnel.
2021-02-08 14:02:51.552 +09:00 | Connection update   | Networking     | I'm so cut ＞＜ 76561199081368590@steam disconnected from IP address 39.116.43.87. Last class: Spectator (Spectator)
2021-02-08 14:02:51.805 +09:00 | Kill                | Class change   | fu4dufy (76561199114210484@steam) playing as Scientist has been killed by Marshall Lee (76561199062293441@steam) using Com15 playing as Class-D Personnel.
2021-02-08 14:02:52.712 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-08 14:02:53.720 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-08 14:02:53.932 +09:00 | Game Event          | Logger         | Player shzhshjbsxish (76561199120350243@steam) threw a flash grenade.
2021-02-08 14:02:54.277 +09:00 | Connection update   | Networking     | 76561198363711668@steam authenticated from endpoint 218.238.121.92:65202. Player ID assigned: 19. Auth token serial number: reZa02a89DSl8MUL
2021-02-08 14:02:54.311 +09:00 | Connection update   | Networking     | Nickname of 76561198363711668@steam is now 바이에른의 람부탄.
2021-02-08 14:02:56.926 +09:00 | Game Event          | Logger         | Player shzhshjbsxish (76561199120350243@steam)'s flash grenade exploded.
2021-02-08 14:03:11.478 +09:00 | Connection update   | Networking     | Goldmilk777 76561198254130933@steam disconnected from IP address 192.168.0.1. Last class: ClassD (Class-D Personnel)
2021-02-08 14:03:14.065 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:49845.
2021-02-08 14:03:22.516 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-08 14:03:22.757 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:49845. Player ID assigned: 20. Auth token serial number: FrHKcQz8ZuvAT7RU
