2021-02-05 18:24:27.840 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-05 18:24:31.095 +09:00 | Connection update   | Networking     | 76561198392832602@steam preauthenticated from endpoint 124.153.148.198:62357.
2021-02-05 18:24:31.224 +09:00 | Connection update   | Networking     | 76561199024614618@steam preauthenticated from endpoint 14.40.115.201:53235.
2021-02-05 18:24:31.526 +09:00 | Connection update   | Networking     | 76561199133432179@steam preauthenticated from endpoint 1.251.62.252:64301.
2021-02-05 18:24:31.577 +09:00 | Connection update   | Networking     | 76561198956540241@steam preauthenticated from endpoint 175.116.70.90:59647.
2021-02-05 18:24:31.879 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:56786.
2021-02-05 18:24:34.515 +09:00 | Connection update   | Networking     | 76561198977674267@steam preauthenticated from endpoint 114.200.216.224:57217.
2021-02-05 18:24:37.881 +09:00 | Connection update   | Networking     | 76561199024614618@steam authenticated from endpoint 14.40.115.201:53235. Player ID assigned: 2. Auth token serial number: WANT2vLoXrqI56ai
2021-02-05 18:24:37.915 +09:00 | Connection update   | Networking     | Nickname of 76561199024614618@steam is now 잼민이.
2021-02-05 18:24:38.996 +09:00 | Connection update   | Networking     | 76561198392832602@steam authenticated from endpoint 124.153.148.198:62357. Player ID assigned: 3. Auth token serial number: Bmiz95CNxmfcyYpJ
2021-02-05 18:24:39.047 +09:00 | Connection update   | Networking     | Nickname of 76561198392832602@steam is now Science Yasuo.
2021-02-05 18:24:39.494 +09:00 | Connection update   | Networking     | 76561199133432179@steam authenticated from endpoint 1.251.62.252:64301. Player ID assigned: 4. Auth token serial number: P3YD/4xLWbWPiE0f
2021-02-05 18:24:39.528 +09:00 | Connection update   | Networking     | Nickname of 76561199133432179@steam is now niceboy88.
2021-02-05 18:24:39.868 +09:00 | Connection update   | Networking     | 76561198956540241@steam authenticated from endpoint 175.116.70.90:59647. Player ID assigned: 5. Auth token serial number: oeBDDb3MUcZcUI3J
2021-02-05 18:24:39.925 +09:00 | Connection update   | Networking     | Nickname of 76561198956540241@steam is now 눈사람.
2021-02-05 18:24:39.929 +09:00 | Connection update   | Permissions    | 눈사람 (76561198956540241@steam) has been assigned to group ADMIN.
2021-02-05 18:24:40.471 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:56786. Player ID assigned: 6. Auth token serial number: wFXpJdvO0QPdCDyp
2021-02-05 18:24:40.506 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-05 18:24:40.509 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-05 18:25:00.741 +09:00 | Connection update   | Networking     | 76561198977674267@steam authenticated from endpoint 114.200.216.224:57217. Player ID assigned: 7. Auth token serial number: w46dQHNbu8fZOzaj
2021-02-05 18:25:00.800 +09:00 | Connection update   | Networking     | Nickname of 76561198977674267@steam is now 개떡같네.
2021-02-05 18:25:04.299 +09:00 | Game Event          | Logger         | Round has been started.
2021-02-05 18:25:05.306 +09:00 | Game Event          | Class change   | 눈사람 (76561198956540241@steam) spawned as Class-D Personnel.
2021-02-05 18:25:05.306 +09:00 | Game Event          | Class change   | Science Yasuo (76561198392832602@steam) spawned as SCP-049.
2021-02-05 18:25:05.306 +09:00 | Game Event          | Class change   | niceboy88 (76561199133432179@steam) spawned as Facility Guard.
2021-02-05 18:25:05.306 +09:00 | Game Event          | Class change   | 잼민이 (76561199024614618@steam) spawned as Class-D Personnel.
2021-02-05 18:25:05.306 +09:00 | Game Event          | Class change   | Goldmilk777 (76561198254130933@steam) spawned as Scientist.
2021-02-05 18:25:05.306 +09:00 | Game Event          | Class change   | 개떡같네 (76561198977674267@steam) spawned as Facility Guard.
2021-02-05 18:25:05.309 +09:00 | Game Event          | Logger         | Random classes have been assigned by DCP.
2021-02-05 18:25:05.345 +09:00 | Game Event          | Logger         | Class Picker Result: ClassD | Scp049 | FacilityGuard | ClassD | Scientist | FacilityGuard | 
2021-02-05 18:25:59.873 +09:00 | Kill                | Class change   | niceboy88 (76561199133432179@steam) playing as Facility Guard has been killed by Science Yasuo (76561198392832602@steam) using SCP-049 playing as SCP-049.
2021-02-05 18:26:21.155 +09:00 | Kill                | Class change   | niceboy88 (76561199133432179@steam) playing as SCP-049-2 has been killed by 0d3cccc2-85b0-4b8f-aa8f-02325473c58a using TESLA.
2021-02-05 18:26:29.087 +09:00 | Kill                | Class change   | 개떡같네 (76561198977674267@steam) playing as Facility Guard has been killed by Science Yasuo (76561198392832602@steam) using SCP-049 playing as SCP-049.
2021-02-05 18:27:41.123 +09:00 | Game Event          | Warhead        | 잼민이 (76561199024614618@steam) set the Alpha Warhead status to True.
2021-02-05 18:27:57.093 +09:00 | Kill                | Class change   | Goldmilk777 (76561198254130933@steam) playing as Scientist has been killed by Science Yasuo (76561198392832602@steam) using SCP-049 playing as SCP-049.
2021-02-05 18:28:41.772 +09:00 | Kill                | Class change   | Goldmilk777 (76561198254130933@steam) playing as SCP-049-2 has been killed by DISCONNECT using WALL.
2021-02-05 18:28:41.774 +09:00 | Connection update   | Networking     | Goldmilk777 76561198254130933@steam disconnected from IP address 192.168.0.1. Last class: Spectator (Spectator)
2021-02-05 18:28:45.385 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:61284.
2021-02-05 18:28:53.721 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-05 18:28:54.686 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:61284. Player ID assigned: 8. Auth token serial number: KlbhR89ML8q8bEEx
2021-02-05 18:28:54.717 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-05 18:28:54.721 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-05 18:28:54.731 +09:00 | Kill                | Class change   | Goldmilk777 (76561198254130933@steam) playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-05 18:29:29.918 +09:00 | Connection update   | Networking     | 76561199054908435@steam preauthenticated from endpoint 121.124.117.16:56488.
2021-02-05 18:29:38.945 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-05 18:29:39.526 +09:00 | Connection update   | Networking     | 76561199113976272@steam preauthenticated from endpoint 221.155.236.102:51405.
2021-02-05 18:29:39.609 +09:00 | Connection update   | Networking     | 76561199054908435@steam authenticated from endpoint 121.124.117.16:56488. Player ID assigned: 9. Auth token serial number: i4okd0p7G4SR68lW
2021-02-05 18:29:39.659 +09:00 | Connection update   | Networking     | Nickname of 76561199054908435@steam is now rladlgus79.
