2021-02-06 14:20:40.958 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-06 14:20:54.659 +09:00 | Connection update   | Networking     | 76561199138508923@steam preauthenticated from endpoint 211.184.142.36:60070.
2021-02-06 14:20:55.011 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:63555.
2021-02-06 14:21:02.518 +09:00 | Connection update   | Networking     | 76561199138508923@steam authenticated from endpoint 211.184.142.36:60070. Player ID assigned: 2. Auth token serial number: 97fiTrjQ3slaPAlE
2021-02-06 14:21:02.569 +09:00 | Connection update   | Networking     | Nickname of 76561199138508923@steam is now prthqbdiwvzftk5726.
2021-02-06 14:21:03.904 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:63555. Player ID assigned: 3. Auth token serial number: iIQmFnEkH/lI0bgK
2021-02-06 14:21:03.952 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-06 14:21:03.955 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-06 14:21:12.530 +09:00 | Game Event          | Logger         | Round has been started.
2021-02-06 14:21:12.530 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) forced round start.
2021-02-06 14:21:12.554 +09:00 | Game Event          | Class change   | prthqbdiwvzftk5726 (76561199138508923@steam) spawned as Class-D Personnel.
2021-02-06 14:21:12.554 +09:00 | Game Event          | Class change   | Goldmilk777 (76561198254130933@steam) spawned as SCP-939-53.
2021-02-06 14:21:12.556 +09:00 | Game Event          | Logger         | Random classes have been assigned by DCP.
2021-02-06 14:21:12.562 +09:00 | Game Event          | Logger         | Class Picker Result: ClassD | Scp93953 | 
2021-02-06 14:21:19.619 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) opened door **.
2021-02-06 14:21:21.388 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) ran the DoorTp command (Door: SURFACE_NUKE) on 3. players.
2021-02-06 14:21:23.679 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) ran the DoorTp command (Door: NUKE_ARMORY) on 3. players.
2021-02-06 14:21:24.891 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) ran the DoorTp command (Door: SURFACE_NUKE) on 3. players.
2021-02-06 14:21:37.818 +09:00 | Remote Admin        | Class change   | Goldmilk777 (76561198254130933@steam) ran the forceclass command (ID: 0 - SCP-173) on 3. players.
2021-02-06 14:21:43.912 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) ran the DoorTp command (Door: SURFACE_NUKE) on 3. players.
2021-02-06 14:21:47.902 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) ran the bring command on 2. players.
2021-02-06 14:22:22.293 +09:00 | Kill                | Class change   | prthqbdiwvzftk5726 (76561199138508923@steam) playing as Class-D Personnel has been killed by WORLD using FALLDOWN.
2021-02-06 14:22:22.342 +09:00 | Game Event          | Logger         | Round finished! Anomalies: 1 | Chaos: 0 | Facility Forces: 0 | D escaped percentage: 0 | S escaped percentage: : 1
2021-02-06 14:22:34.351 +09:00 | Kill                | Class change   | Goldmilk777 (76561198254130933@steam) playing as SCP-173 has been killed by DISCONNECT using WALL.
2021-02-06 14:22:34.352 +09:00 | Connection update   | Networking     | Goldmilk777 76561198254130933@steam disconnected from IP address 192.168.0.1. Last class: Spectator (Spectator)
2021-02-06 14:22:34.386 +09:00 | Kill                | Class change   | prthqbdiwvzftk5726 (76561199138508923@steam) playing as SCP-173 has been killed by DISCONNECT using WALL.
2021-02-06 14:22:34.387 +09:00 | Connection update   | Networking     | prthqbdiwvzftk5726 76561199138508923@steam disconnected from IP address 211.184.142.36. Last class: Spectator (Spectator)
