2021-02-08 14:31:40.684 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-08 14:31:50.957 +09:00 | Connection update   | Networking     | 76561199057938163@steam preauthenticated from endpoint 121.173.26.47:60726.
2021-02-08 14:31:50.973 +09:00 | Connection update   | Networking     | 76561198842100926@steam preauthenticated from endpoint 49.166.247.19:56364.
2021-02-08 14:31:51.124 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:49335.
2021-02-08 14:31:51.569 +09:00 | Connection update   | Networking     | 76561199053868330@steam preauthenticated from endpoint 125.185.109.151:51380.
2021-02-08 14:31:51.597 +09:00 | Connection update   | Networking     | 76561199074813952@steam preauthenticated from endpoint 112.157.114.246:55243.
2021-02-08 14:31:51.847 +09:00 | Connection update   | Networking     | 76561199117410133@steam preauthenticated from endpoint 220.84.120.225:64548.
2021-02-08 14:31:58.439 +09:00 | Connection update   | Networking     | 76561199057938163@steam authenticated from endpoint 121.173.26.47:60726. Player ID assigned: 3. Auth token serial number: 2WBeOGyAVrHM2isF
2021-02-08 14:31:58.489 +09:00 | Connection update   | Networking     | Nickname of 76561199057938163@steam is now 붕까까.
2021-02-08 14:31:58.892 +09:00 | Connection update   | Networking     | 76561198842100926@steam authenticated from endpoint 49.166.247.19:56364. Player ID assigned: 2. Auth token serial number: 0jXsDufP0lav8ix0
2021-02-08 14:31:58.950 +09:00 | Connection update   | Networking     | Nickname of 76561198842100926@steam is now thermall.
2021-02-08 14:31:58.991 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:49335. Player ID assigned: 4. Auth token serial number: 3J6XYThTIPLIo8cd
2021-02-08 14:31:59.023 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-08 14:31:59.027 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-08 14:32:00.810 +09:00 | Connection update   | Networking     | 76561199074813952@steam authenticated from endpoint 112.157.114.246:55243. Player ID assigned: 5. Auth token serial number: gNmxxxAunG2pfRra
2021-02-08 14:32:00.895 +09:00 | Connection update   | Networking     | Nickname of 76561199074813952@steam is now 반란 Восстание.
2021-02-08 14:32:00.898 +09:00 | Connection update   | Permissions    | 반란 Восстание (76561199074813952@steam) has been assigned to group ADMIN.
