2021-02-05 14:52:10.852 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-05 14:52:12.909 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:59873.
2021-02-05 14:52:34.939 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by DISCONNECT using WALL.
2021-02-05 14:52:34.946 +09:00 | Connection update   | Networking     | (null) (no ID) disconnected from IP address 192.168.0.1. Last class: None (NOT SPAWNED)
2021-02-05 14:53:08.469 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:61398.
2021-02-05 14:53:25.102 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:61398. Player ID assigned: 3. Auth token serial number: DFM/sDgwfTL18OaT
2021-02-05 14:53:25.137 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-05 14:53:25.142 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-05 14:53:41.326 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) forced a server event: ROUND_RESTART
2021-02-05 14:53:41.887 +09:00 | Game Event          | Logger         | Round has been started.
2021-02-05 14:53:41.887 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) forced round start.
2021-02-05 14:53:42.292 +09:00 | Connection update   | Networking     | Goldmilk777 76561198254130933@steam disconnected from IP address 192.168.0.1. Last class: None (NOT SPAWNED)
