2021-02-08 12:05:55.830 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-08 12:06:06.199 +09:00 | Connection update   | Networking     | 76561198052198087@steam preauthenticated from endpoint 121.157.158.123:62990.
2021-02-08 12:06:11.952 +09:00 | Connection update   | Networking     | 76561198863862176@steam preauthenticated from endpoint 116.123.184.244:62247.
2021-02-08 12:06:17.396 +09:00 | Connection update   | Networking     | 76561199101747881@steam preauthenticated from endpoint 1.251.222.125:62353.
2021-02-08 12:06:17.666 +09:00 | Connection update   | Networking     | 76561198934960227@steam preauthenticated from endpoint 116.127.91.43:53863.
2021-02-08 12:06:17.699 +09:00 | Connection update   | Networking     | 76561199112849985@steam preauthenticated from endpoint 211.187.127.126:64698.
2021-02-08 12:06:17.757 +09:00 | Connection update   | Networking     | 76561198063593047@steam preauthenticated from endpoint 14.7.70.215:53560.
2021-02-08 12:06:17.760 +09:00 | Connection update   | Networking     | 76561199070771525@steam preauthenticated from endpoint 210.108.21.102:56063.
2021-02-08 12:06:17.763 +09:00 | Connection update   | Networking     | 76561199138794390@steam preauthenticated from endpoint 1.237.8.112:49869.
2021-02-08 12:06:17.766 +09:00 | Connection update   | Networking     | 76561198989486305@steam preauthenticated from endpoint 222.121.210.3:49982.
2021-02-08 12:06:17.775 +09:00 | Connection update   | Networking     | 76561199112011688@steam preauthenticated from endpoint 125.130.124.154:63204.
2021-02-08 12:06:17.858 +09:00 | Connection update   | Networking     | 76561199017218834@steam preauthenticated from endpoint 61.99.216.21:52478.
2021-02-08 12:06:17.892 +09:00 | Connection update   | Networking     | 76561199110527167@steam preauthenticated from endpoint 118.47.184.250:57673.
2021-02-08 12:06:17.909 +09:00 | Connection update   | Networking     | 76561199126375963@steam preauthenticated from endpoint 115.86.130.36:64138.
2021-02-08 12:06:17.925 +09:00 | Connection update   | Networking     | 76561199122533503@steam preauthenticated from endpoint 119.64.190.87:62859.
2021-02-08 12:06:17.950 +09:00 | Connection update   | Networking     | 76561199110281734@steam preauthenticated from endpoint 121.151.147.83:55207.
2021-02-08 12:06:18.028 +09:00 | Connection update   | Networking     | 76561198985836748@steam preauthenticated from endpoint 116.121.180.242:51629.
2021-02-08 12:06:18.061 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:64054.
2021-02-08 12:06:18.112 +09:00 | Connection update   | Networking     | 76561199058256631@steam preauthenticated from endpoint 222.102.99.142:65454.
2021-02-08 12:06:18.198 +09:00 | Connection update   | Networking     | 76561198438696075@steam preauthenticated from endpoint 119.70.213.91:55536.
2021-02-08 12:06:18.203 +09:00 | Connection update   | Networking     | 76561198926392549@steam preauthenticated from endpoint 58.237.244.246:58241.
2021-02-08 12:06:20.084 +09:00 | Connection update   | Networking     | 76561199087358210@steam preauthenticated from endpoint 61.253.118.21:53101.
2021-02-08 12:06:24.293 +09:00 | Connection update   | Networking     | 76561198052198087@steam authenticated from endpoint 121.157.158.123:62990. Player ID assigned: 2. Auth token serial number: 38LNPo8ifzuFG76Q
2021-02-08 12:06:24.376 +09:00 | Connection update   | Networking     | Nickname of 76561198052198087@steam is now sunghee6249.
2021-02-08 12:06:24.997 +09:00 | Connection update   | Networking     | 76561199112849985@steam authenticated from endpoint 211.187.127.126:64698. Player ID assigned: 4. Auth token serial number: GSJiJ8y5lQTwjbob
2021-02-08 12:06:25.047 +09:00 | Connection update   | Networking     | Nickname of 76561199112849985@steam is now 하고하고.
2021-02-08 12:06:25.055 +09:00 | Connection update   | Permissions    | 하고하고 (76561199112849985@steam) has been assigned to group ADMIN.
2021-02-08 12:06:25.216 +09:00 | Connection update   | Networking     | 76561199110281734@steam authenticated from endpoint 121.151.147.83:55207. Player ID assigned: 5. Auth token serial number: 36wu92qQk0VIlk0h
2021-02-08 12:06:25.269 +09:00 | Connection update   | Networking     | Nickname of 76561199110281734@steam is now SOON두부.
2021-02-08 12:06:25.270 +09:00 | Connection update   | Networking     | Player (CharacterClassManager)) connected from IP 121.151.147.83 sent Do Not Track signal.
2021-02-08 12:06:25.293 +09:00 | Connection update   | Networking     | 76561199101747881@steam authenticated from endpoint 1.251.222.125:62353. Player ID assigned: 3. Auth token serial number: h0BhogOlIj3BycUe
2021-02-08 12:06:25.358 +09:00 | Connection update   | Networking     | Nickname of 76561199101747881@steam is now 돈없는스타.
