2021-02-05 15:52:53.480 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-05 15:53:02.345 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:52355.
2021-02-05 15:53:02.375 +09:00 | Connection update   | Networking     | 76561199087358210@steam preauthenticated from endpoint 61.253.118.21:52636.
2021-02-05 15:53:02.417 +09:00 | Connection update   | Networking     | 76561198956540241@steam preauthenticated from endpoint 175.116.70.90:59465.
2021-02-05 15:53:10.293 +09:00 | Connection update   | Networking     | 76561198956540241@steam authenticated from endpoint 175.116.70.90:59465. Player ID assigned: 2. Auth token serial number: FdQdDypKUK1VM8PZ
2021-02-05 15:53:10.377 +09:00 | Connection update   | Networking     | Nickname of 76561198956540241@steam is now 눈사람.
2021-02-05 15:53:11.096 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:52355. Player ID assigned: 3. Auth token serial number: VSdVPBJ7aURZh/zk
2021-02-05 15:53:11.290 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-05 15:53:11.294 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-05 15:53:15.114 +09:00 | Connection update   | Networking     | 76561199087358210@steam authenticated from endpoint 61.253.118.21:52636. Player ID assigned: 4. Auth token serial number: qYYpvckFNDRCHBMH
2021-02-05 15:53:15.147 +09:00 | Connection update   | Networking     | Nickname of 76561199087358210@steam is now msn0088.
2021-02-05 15:53:15.148 +09:00 | Connection update   | Networking     | Player (CharacterClassManager)) connected from IP 61.253.118.21 sent Do Not Track signal.
2021-02-05 15:53:33.810 +09:00 | Game Event          | Logger         | Round has been started.
2021-02-05 15:53:34.825 +09:00 | Game Event          | Class change   | 눈사람 (76561198956540241@steam) spawned as Class-D Personnel.
2021-02-05 15:53:34.825 +09:00 | Game Event          | Class change   | msn0088 (76561199087358210@steam) spawned as SCP-939-89.
2021-02-05 15:53:34.825 +09:00 | Game Event          | Class change   | Goldmilk777 (76561198254130933@steam) spawned as Facility Guard.
2021-02-05 15:53:34.828 +09:00 | Game Event          | Logger         | Random classes have been assigned by DCP.
2021-02-05 15:53:34.847 +09:00 | Game Event          | Logger         | Class Picker Result: ClassD | Scp93989 | FacilityGuard | 
2021-02-05 15:53:42.773 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) ran the give command (ID: 20) on 2. players.
2021-02-05 15:53:47.352 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) ran the give command (ID: 20) on 3. players.
2021-02-05 15:59:59.355 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) forced a server event: DETONATION_START
2021-02-05 15:59:59.356 +09:00 | Game Event          | Warhead        | Countdown started.
2021-02-05 16:00:15.340 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) forced a server event: DETONATION_CANCEL
2021-02-05 16:00:15.340 +09:00 | Game Event          | Warhead        | Detonation cancelled.
2021-02-05 16:00:18.874 +09:00 | Connection update   | Networking     | 76561198971665244@steam preauthenticated from endpoint 183.108.197.153:62338.
2021-02-05 16:00:22.233 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) opened door **.
2021-02-05 16:00:47.288 +09:00 | Connection update   | Networking     | 76561198971665244@steam authenticated from endpoint 183.108.197.153:62338. Player ID assigned: 5. Auth token serial number: UJF8wPPA2d/L8eeS
2021-02-05 16:00:47.340 +09:00 | Connection update   | Networking     | Nickname of 76561198971665244@steam is now 강지훈.
2021-02-05 16:02:12.400 +09:00 | Kill                | Class change   | Goldmilk777 (76561198254130933@steam) playing as Facility Guard has been killed by 눈사람 (76561198956540241@steam) using Logicier playing as Chaos Insurgency.
2021-02-05 16:02:12.465 +09:00 | Game Event          | Logger         | Round finished! Anomalies: 1 | Chaos: 1 | Facility Forces: 0 | D escaped percentage: 1 | S escaped percentage: : 1
2021-02-05 16:02:24.477 +09:00 | Connection update   | Networking     | Goldmilk777 76561198254130933@steam disconnected from IP address 192.168.0.1. Last class: Spectator (Spectator)
2021-02-05 16:02:24.503 +09:00 | Kill                | Class change   | msn0088 (76561199087358210@steam) playing as SCP-939-89 has been killed by DISCONNECT using WALL.
2021-02-05 16:02:24.505 +09:00 | Kill                | Class change   | 눈사람 (76561198956540241@steam) playing as Chaos Insurgency has been killed by DISCONNECT using WALL.
2021-02-05 16:02:24.508 +09:00 | Connection update   | Networking     | msn0088 76561199087358210@steam disconnected from IP address 61.253.118.21. Last class: Spectator (Spectator)
2021-02-05 16:02:24.511 +09:00 | Connection update   | Networking     | 눈사람 76561198956540241@steam disconnected from IP address 175.116.70.90. Last class: Spectator (Spectator)
2021-02-05 16:02:24.513 +09:00 | Connection update   | Networking     | 강지훈 76561198971665244@steam disconnected from IP address 183.108.197.153. Last class: Spectator (Spectator)
