2021-02-08 12:23:07.842 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-08 12:23:18.196 +09:00 | Connection update   | Networking     | 76561199110281734@steam preauthenticated from endpoint 121.151.147.83:65246.
2021-02-08 12:23:18.333 +09:00 | Connection update   | Networking     | 76561199112849985@steam preauthenticated from endpoint 211.187.127.126:62342.
2021-02-08 12:23:18.431 +09:00 | Connection update   | Networking     | 76561198063593047@steam preauthenticated from endpoint 14.7.70.215:51346.
2021-02-08 12:23:18.496 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:59306.
2021-02-08 12:23:18.532 +09:00 | Connection update   | Networking     | 76561199112011688@steam preauthenticated from endpoint 125.130.124.154:61409.
2021-02-08 12:23:18.653 +09:00 | Connection update   | Networking     | 76561198798739458@steam preauthenticated from endpoint 219.249.156.172:50163.
2021-02-08 12:23:18.872 +09:00 | Connection update   | Networking     | 76561199017218834@steam preauthenticated from endpoint 61.99.216.21:59362.
2021-02-08 12:23:24.343 +09:00 | Connection update   | Networking     | 76561199110281734@steam authenticated from endpoint 121.151.147.83:65246. Player ID assigned: 2. Auth token serial number: rpoLrC0TV0WlYKPI
2021-02-08 12:23:24.395 +09:00 | Connection update   | Networking     | Nickname of 76561199110281734@steam is now SOON두부.
2021-02-08 12:23:24.395 +09:00 | Connection update   | Networking     | Player (CharacterClassManager)) connected from IP 121.151.147.83 sent Do Not Track signal.
2021-02-08 12:23:26.001 +09:00 | Connection update   | Networking     | 76561199112849985@steam authenticated from endpoint 211.187.127.126:62342. Player ID assigned: 3. Auth token serial number: 8Ojk3FW3sKcIsjO2
2021-02-08 12:23:26.051 +09:00 | Connection update   | Networking     | Nickname of 76561199112849985@steam is now 하고하고.
2021-02-08 12:23:26.058 +09:00 | Connection update   | Permissions    | 하고하고 (76561199112849985@steam) has been assigned to group ADMIN.
