2021-02-05 19:46:23.242 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-05 19:46:28.090 +09:00 | Connection update   | Networking     | 76561199048022950@steam preauthenticated from endpoint 222.121.210.41:65461.
2021-02-05 19:46:28.151 +09:00 | Connection update   | Networking     | 76561198837864497@steam preauthenticated from endpoint 121.176.255.210:59416.
2021-02-05 19:46:28.157 +09:00 | Connection update   | Networking     | 76561198176786381@steam preauthenticated from endpoint 116.45.159.194:57440.
2021-02-05 19:46:28.168 +09:00 | Connection update   | Networking     | 76561199046272376@steam preauthenticated from endpoint 121.173.142.146:58009.
2021-02-05 19:46:28.193 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:55531.
2021-02-05 19:46:28.275 +09:00 | Connection update   | Networking     | 76561199135964348@steam preauthenticated from endpoint 222.234.53.125:45831.
2021-02-05 19:46:28.289 +09:00 | Connection update   | Networking     | 76561199113976272@steam preauthenticated from endpoint 221.155.236.102:58066.
2021-02-05 19:46:28.357 +09:00 | Connection update   | Networking     | 76561198956540241@steam preauthenticated from endpoint 175.116.70.90:50417.
2021-02-05 19:46:28.370 +09:00 | Connection update   | Networking     | 76561199075080065@steam preauthenticated from endpoint 125.185.60.191:58697.
2021-02-05 19:46:28.410 +09:00 | Connection update   | Networking     | 76561199062834504@steam preauthenticated from endpoint 58.124.224.248:51447.
2021-02-05 19:46:28.479 +09:00 | Connection update   | Networking     | 76561198015087020@steam preauthenticated from endpoint 118.37.79.91:61191.
2021-02-05 19:46:28.497 +09:00 | Connection update   | Networking     | 76561199129723096@steam preauthenticated from endpoint 210.113.224.226:57872.
2021-02-05 19:46:28.600 +09:00 | Connection update   | Networking     | 76561199126833476@steam preauthenticated from endpoint 211.246.183.235:55562.
2021-02-05 19:46:28.606 +09:00 | Connection update   | Networking     | 76561198392832602@steam preauthenticated from endpoint 124.153.148.198:54687.
