2021-02-08 22:18:05.380 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-08 22:18:23.408 +09:00 | Connection update   | Networking     | 76561198986042822@steam preauthenticated from endpoint 59.22.246.228:58391.
2021-02-08 22:18:23.469 +09:00 | Connection update   | Networking     | 76561198392832602@steam preauthenticated from endpoint 124.153.148.198:61168.
2021-02-08 22:18:23.560 +09:00 | Connection update   | Networking     | 76561198996246348@steam preauthenticated from endpoint 218.233.81.202:56377.
2021-02-08 22:18:23.899 +09:00 | Connection update   | Networking     | 76561198347901294@steam preauthenticated from endpoint 121.187.215.31:51684.
2021-02-08 22:18:23.941 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:56140.
2021-02-08 22:18:24.312 +09:00 | Connection update   | Networking     | 76561199132876859@steam preauthenticated from endpoint 58.235.148.84:63770.
2021-02-08 22:18:24.348 +09:00 | Connection update   | Networking     | 76561199074813952@steam preauthenticated from endpoint 112.157.114.246:61814.
2021-02-08 22:18:25.269 +09:00 | Connection update   | Networking     | 76561198929783572@steam preauthenticated from endpoint 125.177.133.151:58193.
2021-02-08 22:18:27.535 +09:00 | Connection update   | Networking     | 76561199122772457@steam preauthenticated from endpoint 223.219.121.119:57176.
2021-02-08 22:18:30.789 +09:00 | Connection update   | Networking     | 76561198986042822@steam authenticated from endpoint 59.22.246.228:58391. Player ID assigned: 2. Auth token serial number: V5fzuDzFjzLKyene
2021-02-08 22:18:30.838 +09:00 | Connection update   | Networking     | Nickname of 76561198986042822@steam is now POMXC.
2021-02-08 22:18:30.900 +09:00 | Connection update   | Permissions    | POMXC (76561198986042822@steam) has been assigned to group 임시 관리자.
2021-02-08 22:18:31.431 +09:00 | Connection update   | Networking     | 76561198392832602@steam authenticated from endpoint 124.153.148.198:61168. Player ID assigned: 3. Auth token serial number: /fdih/NIc3sK50pn
2021-02-08 22:18:31.482 +09:00 | Connection update   | Networking     | Nickname of 76561198392832602@steam is now Science Yasuo(잼민이 혐오).
2021-02-08 22:18:31.485 +09:00 | Connection update   | Permissions    | Science Yasuo(잼민이 혐오) (76561198392832602@steam) has been assigned to group 과학자.
2021-02-08 22:18:32.054 +09:00 | Connection update   | Networking     | 76561198996246348@steam authenticated from endpoint 218.233.81.202:56377. Player ID assigned: 4. Auth token serial number: PncRg6f3l1rvaziQ
2021-02-08 22:18:32.102 +09:00 | Connection update   | Networking     | Nickname of 76561198996246348@steam is now 123.
2021-02-08 22:18:32.261 +09:00 | Connection update   | Networking     | 76561198347901294@steam authenticated from endpoint 121.187.215.31:51684. Player ID assigned: 5. Auth token serial number: RtAfbApn44AVBq1k
2021-02-08 22:18:32.310 +09:00 | Connection update   | Networking     | Nickname of 76561198347901294@steam is now 야망.
2021-02-08 22:18:33.004 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:56140. Player ID assigned: 6. Auth token serial number: xBJoHbmumG20QFqL
