2021-02-06 14:47:47.679 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-06 14:48:06.403 +09:00 | Connection update   | Networking     | 76561198956540241@steam preauthenticated from endpoint 175.116.70.90:52755.
2021-02-06 14:48:06.807 +09:00 | Connection update   | Networking     | 76561198865520484@steam preauthenticated from endpoint 218.54.19.23:61053.
2021-02-06 14:48:07.397 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:60532.
2021-02-06 14:48:13.362 +09:00 | Connection update   | Networking     | 76561198865520484@steam authenticated from endpoint 218.54.19.23:61053. Player ID assigned: 3. Auth token serial number: ne3IHQIn0JTgKYpz
2021-02-06 14:48:13.412 +09:00 | Connection update   | Networking     | Nickname of 76561198865520484@steam is now 크에늬.
2021-02-06 14:48:13.412 +09:00 | Connection update   | Networking     | Player (CharacterClassManager)) connected from IP 218.54.19.23 sent Do Not Track signal.
2021-02-06 14:48:14.004 +09:00 | Connection update   | Networking     | 76561198956540241@steam authenticated from endpoint 175.116.70.90:52755. Player ID assigned: 2. Auth token serial number: 3mROyTLJpVeuHSUj
2021-02-06 14:48:14.038 +09:00 | Connection update   | Networking     | Nickname of 76561198956540241@steam is now 눈사람.
2021-02-06 14:48:14.042 +09:00 | Connection update   | Permissions    | 눈사람 (76561198956540241@steam) has been assigned to group ADMIN.
2021-02-06 14:48:16.459 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:60532. Player ID assigned: 4. Auth token serial number: Br/peIJGxnThPBV/
2021-02-06 14:48:16.491 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-06 14:48:16.495 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-06 14:48:36.582 +09:00 | Game Event          | Logger         | Round has been started.
2021-02-06 14:48:37.591 +09:00 | Game Event          | Class change   | 크에늬 (76561198865520484@steam) spawned as Class-D Personnel.
2021-02-06 14:48:37.591 +09:00 | Game Event          | Class change   | 눈사람 (76561198956540241@steam) spawned as SCP-173.
2021-02-06 14:48:37.591 +09:00 | Game Event          | Class change   | Goldmilk777 (76561198254130933@steam) spawned as Facility Guard.
2021-02-06 14:48:37.593 +09:00 | Game Event          | Logger         | Random classes have been assigned by DCP.
2021-02-06 14:48:37.604 +09:00 | Game Event          | Logger         | Class Picker Result: ClassD | Scp173 | FacilityGuard | 
2021-02-06 14:49:58.119 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) has turned off lights in HCZ for 1 seconds.
2021-02-06 14:50:10.091 +09:00 | Remote Admin        | Administrative | Goldmilk777 (76561198254130933@steam) has turned off lights in HCZ for 10 seconds.
2021-02-06 14:50:33.474 +09:00 | Game Event          | Logger         | Player Goldmilk777 (76561198254130933@steam) threw a flash grenade.
2021-02-06 14:50:36.472 +09:00 | Game Event          | Logger         | Player Goldmilk777 (76561198254130933@steam)'s flash grenade exploded.
2021-02-06 14:50:57.337 +09:00 | Kill                | Class change   | Goldmilk777 (76561198254130933@steam) playing as Facility Guard has been killed by 눈사람 (76561198956540241@steam) using SCP-173 playing as SCP-173.
2021-02-06 14:51:44.732 +09:00 | Kill                | Class change   | 크에늬 (76561198865520484@steam) playing as Class-D Personnel has been killed by 눈사람 (76561198956540241@steam) using SCP-173 playing as SCP-173.
2021-02-06 14:51:44.811 +09:00 | Game Event          | Logger         | Round finished! Anomalies: 1 | Chaos: 0 | Facility Forces: 0 | D escaped percentage: 0 | S escaped percentage: : 1
2021-02-06 14:51:56.825 +09:00 | Connection update   | Networking     | Goldmilk777 76561198254130933@steam disconnected from IP address 192.168.0.1. Last class: Spectator (Spectator)
2021-02-06 14:51:56.840 +09:00 | Connection update   | Networking     | 크에늬 76561198865520484@steam disconnected from IP address 218.54.19.23. Last class: Spectator (Spectator)
2021-02-06 14:51:56.864 +09:00 | Kill                | Class change   | 눈사람 (76561198956540241@steam) playing as SCP-173 has been killed by DISCONNECT using WALL.
2021-02-06 14:51:56.866 +09:00 | Connection update   | Networking     | 눈사람 76561198956540241@steam disconnected from IP address 175.116.70.90. Last class: Spectator (Spectator)
