2021-02-05 18:04:04.655 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-05 18:04:20.582 +09:00 | Connection update   | Networking     | 76561199133432179@steam preauthenticated from endpoint 1.251.62.252:55068.
2021-02-05 18:04:20.598 +09:00 | Connection update   | Networking     | 76561199024614618@steam preauthenticated from endpoint 14.40.115.201:51008.
2021-02-05 18:04:20.950 +09:00 | Connection update   | Networking     | 76561198956540241@steam preauthenticated from endpoint 175.116.70.90:52833.
2021-02-05 18:04:20.968 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:57451.
2021-02-05 18:04:21.203 +09:00 | Connection update   | Networking     | 76561199117410133@steam preauthenticated from endpoint 220.84.120.225:58178.
2021-02-05 18:04:27.038 +09:00 | Connection update   | Networking     | 76561199024614618@steam authenticated from endpoint 14.40.115.201:51008. Player ID assigned: 2. Auth token serial number: oUSWo3RmHOtZOA0l
2021-02-05 18:04:27.070 +09:00 | Connection update   | Networking     | Nickname of 76561199024614618@steam is now 잼민이.
2021-02-05 18:04:27.852 +09:00 | Connection update   | Networking     | 76561199133432179@steam authenticated from endpoint 1.251.62.252:55068. Player ID assigned: 3. Auth token serial number: RcdrDtQy3aigv9dy
2021-02-05 18:04:27.900 +09:00 | Connection update   | Networking     | Nickname of 76561199133432179@steam is now niceboy88.
2021-02-05 18:04:28.946 +09:00 | Connection update   | Networking     | 76561198956540241@steam authenticated from endpoint 175.116.70.90:52833. Player ID assigned: 4. Auth token serial number: D7IIbYGuTDi1Cb2k
2021-02-05 18:04:28.981 +09:00 | Connection update   | Networking     | 76561198254130933@steam authenticated from endpoint 192.168.0.1:57451. Player ID assigned: 5. Auth token serial number: 54TnaxwhISTlAScU
2021-02-05 18:04:28.985 +09:00 | Connection update   | Networking     | Nickname of 76561198956540241@steam is now 눈사람.
2021-02-05 18:04:28.988 +09:00 | Connection update   | Permissions    | 눈사람 (76561198956540241@steam) has been assigned to group ADMIN.
2021-02-05 18:04:29.000 +09:00 | Connection update   | Networking     | Nickname of 76561198254130933@steam is now Goldmilk777.
2021-02-05 18:04:29.002 +09:00 | Connection update   | Permissions    | Goldmilk777 (76561198254130933@steam) has been assigned to group SERVER OWNER.
2021-02-05 18:04:34.723 +09:00 | Connection update   | Networking     | 76561199117410133@steam authenticated from endpoint 220.84.120.225:58178. Player ID assigned: 6. Auth token serial number: xrIzr8r45bnxZnAu
2021-02-05 18:04:34.791 +09:00 | Connection update   | Networking     | Nickname of 76561199117410133@steam is now leemj10082009.
2021-02-05 18:04:52.981 +09:00 | Game Event          | Logger         | Round has been started.
2021-02-05 18:04:53.992 +09:00 | Game Event          | Class change   | 눈사람 (76561198956540241@steam) spawned as Class-D Personnel.
2021-02-05 18:04:53.992 +09:00 | Game Event          | Class change   | leemj10082009 (76561199117410133@steam) spawned as SCP-096.
2021-02-05 18:04:53.992 +09:00 | Game Event          | Class change   | Goldmilk777 (76561198254130933@steam) spawned as Facility Guard.
2021-02-05 18:04:53.993 +09:00 | Game Event          | Class change   | 잼민이 (76561199024614618@steam) spawned as Class-D Personnel.
2021-02-05 18:04:53.993 +09:00 | Game Event          | Class change   | niceboy88 (76561199133432179@steam) spawned as Scientist.
2021-02-05 18:04:53.995 +09:00 | Game Event          | Logger         | Random classes have been assigned by DCP.
2021-02-05 18:04:54.022 +09:00 | Game Event          | Logger         | Class Picker Result: ClassD | Scp096 | FacilityGuard | ClassD | Scientist | 
2021-02-05 18:10:43.497 +09:00 | Game Event          | Logger         | Player niceboy88 (76561199133432179@steam) threw a SCP-018 grenade.
2021-02-05 18:10:45.431 +09:00 | Kill                | Class change   | niceboy88 (76561199133432179@steam) playing as Scientist has been killed by SCP-018 using WALL.
2021-02-05 18:10:55.247 +09:00 | Game Event          | Logger         | Player niceboy88 (76561199133432179@steam)'s SCP-018 grenade exploded.
2021-02-05 18:11:07.919 +09:00 | Connection update   | Networking     | 76561198977674267@steam preauthenticated from endpoint 114.200.216.224:53596.
2021-02-05 18:11:31.794 +09:00 | Kill                | Class change   | (null) () playing as Spectator has been killed by CmdSuicide using NONE.
2021-02-05 18:11:32.612 +09:00 | Connection update   | Networking     | 76561198977674267@steam authenticated from endpoint 114.200.216.224:53596. Player ID assigned: 7. Auth token serial number: NvIkUEHekJcmYAHL
2021-02-05 18:11:32.759 +09:00 | Connection update   | Networking     | Nickname of 76561198977674267@steam is now 개떡같네.
2021-02-05 18:12:49.614 +09:00 | Game Event          | Logger         | Player Goldmilk777 (76561198254130933@steam) threw a frag grenade.
2021-02-05 18:12:54.358 +09:00 | Game Event          | Logger         | Player Goldmilk777 (76561198254130933@steam)'s frag grenade exploded.
2021-02-05 18:12:54.360 +09:00 | Kill                | Class change   | leemj10082009 (76561199117410133@steam) playing as SCP-096 has been killed by Goldmilk777 (76561198254130933@steam) using GRENADE playing as Facility Guard.
2021-02-05 18:13:44.298 +09:00 | Kill                | Class change   | Goldmilk777 (76561198254130933@steam) playing as Facility Guard has been killed by 눈사람 (76561198956540241@steam) using Logicier playing as Class-D Personnel.
2021-02-05 18:13:44.361 +09:00 | Game Event          | Logger         | Round finished! Anomalies: 0 | Chaos: 2 | Facility Forces: 0 | D escaped percentage: 1 | S escaped percentage: : 0
