2021-02-06 18:17:22.274 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-06 18:17:36.512 +09:00 | Connection update   | Networking     | 76561199070531434@steam preauthenticated from endpoint 121.147.228.219:65258.
2021-02-06 18:17:36.645 +09:00 | Connection update   | Networking     | 76561199016843905@steam preauthenticated from endpoint 39.115.116.12:50524.
2021-02-06 18:17:36.678 +09:00 | Connection update   | Networking     | 76561198974821365@steam preauthenticated from endpoint 125.187.37.226:63458.
2021-02-06 18:17:36.762 +09:00 | Connection update   | Networking     | 76561198837915487@steam preauthenticated from endpoint 222.238.188.42:63827.
2021-02-06 18:17:36.765 +09:00 | Connection update   | Networking     | 76561198392832602@steam preauthenticated from endpoint 124.153.148.198:60158.
2021-02-06 18:17:36.795 +09:00 | Connection update   | Networking     | 76561199104262415@steam preauthenticated from endpoint 182.209.41.17:39351.
2021-02-06 18:17:36.912 +09:00 | Connection update   | Networking     | 76561198860449982@steam preauthenticated from endpoint 61.255.249.53:59358.
2021-02-06 18:17:36.946 +09:00 | Connection update   | Networking     | 76561199135964348@steam preauthenticated from endpoint 222.234.53.125:63986.
2021-02-06 18:17:37.013 +09:00 | Connection update   | Networking     | 76561198027979258@steam preauthenticated from endpoint 125.133.2.123:51321.
2021-02-06 18:17:37.231 +09:00 | Connection update   | Networking     | 76561198861785153@steam preauthenticated from endpoint 115.143.63.49:51382.
2021-02-06 18:17:37.348 +09:00 | Connection update   | Networking     | 76561199087260845@steam preauthenticated from endpoint 112.155.16.171:58648.
2021-02-06 18:17:37.435 +09:00 | Connection update   | Networking     | 76561199111942612@steam preauthenticated from endpoint 118.223.179.163:50793.
2021-02-06 18:17:37.649 +09:00 | Connection update   | Networking     | 76561198865520484@steam preauthenticated from endpoint 218.54.19.23:51535.
2021-02-06 18:17:37.683 +09:00 | Connection update   | Networking     | 76561199011047974@steam preauthenticated from endpoint 14.45.112.252:64136.
2021-02-06 18:17:37.817 +09:00 | Connection update   | Networking     | 76561199078902404@steam preauthenticated from endpoint 61.79.53.234:63166.
2021-02-06 18:17:44.056 +09:00 | Connection update   | Networking     | 76561199070531434@steam authenticated from endpoint 121.147.228.219:65258. Player ID assigned: 2. Auth token serial number: W0At963XXdgrwgx6
2021-02-06 18:17:44.101 +09:00 | Connection update   | Networking     | Nickname of 76561199070531434@steam is now seohyeongwo.
2021-02-06 18:17:44.253 +09:00 | Connection update   | Networking     | 76561199016843905@steam authenticated from endpoint 39.115.116.12:50524. Player ID assigned: 3. Auth token serial number: hasioTq/dV02KI7f
2021-02-06 18:17:44.302 +09:00 | Connection update   | Networking     | Nickname of 76561199016843905@steam is now (대충 지은 이름).
2021-02-06 18:17:44.354 +09:00 | Connection update   | Networking     | 76561198392832602@steam authenticated from endpoint 124.153.148.198:60158. Player ID assigned: 4. Auth token serial number: eu/ATRy0a3MYs2Kw
2021-02-06 18:17:44.411 +09:00 | Connection update   | Networking     | Nickname of 76561198392832602@steam is now Science Yasuo.
2021-02-06 18:17:45.424 +09:00 | Connection update   | Networking     | 76561198837915487@steam authenticated from endpoint 222.238.188.42:63827. Player ID assigned: 6. Auth token serial number: R43UmysnENdvdqnZ
2021-02-06 18:17:45.483 +09:00 | Connection update   | Networking     | Nickname of 76561198837915487@steam is now BerryV.
2021-02-06 18:17:45.602 +09:00 | Connection update   | Networking     | 76561199135964348@steam authenticated from endpoint 222.234.53.125:63986. Player ID assigned: 5. Auth token serial number: WOYhmjelf466PmU1
2021-02-06 18:17:45.650 +09:00 | Connection update   | Networking     | Nickname of 76561199135964348@steam is now 호르.
2021-02-06 18:17:45.651 +09:00 | Connection update   | Networking     | Player (CharacterClassManager)) connected from IP 222.234.53.125 sent Do Not Track signal.
2021-02-06 18:17:45.803 +09:00 | Connection update   | Networking     | 76561198027979258@steam authenticated from endpoint 125.133.2.123:51321. Player ID assigned: 7. Auth token serial number: r6XYuHHBJ99H6hqW
