2021-02-09 19:04:52.877 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-09 19:05:05.310 +09:00 | Connection update   | Networking     | 76561199008173793@steam preauthenticated from endpoint 39.124.14.26:63495.
2021-02-09 19:05:05.545 +09:00 | Connection update   | Networking     | 76561198956540241@steam preauthenticated from endpoint 175.116.70.90:62531.
2021-02-09 19:05:05.663 +09:00 | Connection update   | Networking     | 76561199066085465@steam preauthenticated from endpoint 221.156.224.119:53252.
2021-02-09 19:05:05.692 +09:00 | Connection update   | Networking     | 76561198837393789@steam preauthenticated from endpoint 14.43.151.38:55613.
2021-02-09 19:05:05.792 +09:00 | Connection update   | Networking     | 76561199138508923@steam preauthenticated from endpoint 14.42.132.217:59483.
2021-02-09 19:05:05.795 +09:00 | Connection update   | Networking     | 76561198392832602@steam preauthenticated from endpoint 124.153.148.198:53084.
2021-02-09 19:05:05.812 +09:00 | Connection update   | Networking     | 76561199104262415@steam preauthenticated from endpoint 182.209.41.17:56082.
2021-02-09 19:05:05.829 +09:00 | Connection update   | Networking     | 76561198971793383@steam preauthenticated from endpoint 124.53.42.15:62159.
2021-02-09 19:05:05.979 +09:00 | Connection update   | Networking     | 76561199074547285@steam preauthenticated from endpoint 211.244.160.34:58655.
2021-02-09 19:05:05.996 +09:00 | Connection update   | Networking     | 76561199112011688@steam preauthenticated from endpoint 125.130.124.154:61921.
2021-02-09 19:05:06.013 +09:00 | Connection update   | Networking     | 76561199062019912@steam preauthenticated from endpoint 1.242.246.5:59628.
2021-02-09 19:05:12.852 +09:00 | Connection update   | Networking     | 76561199008173793@steam authenticated from endpoint 39.124.14.26:63495. Player ID assigned: 2. Auth token serial number: f/haN21ImOV4dVVA
2021-02-09 19:05:12.901 +09:00 | Connection update   | Networking     | Nickname of 76561199008173793@steam is now 파파랏 엘라.
2021-02-09 19:05:13.256 +09:00 | Connection update   | Networking     | 76561198956540241@steam authenticated from endpoint 175.116.70.90:62531. Player ID assigned: 4. Auth token serial number: hqWU4gqqdvcFD8fu
2021-02-09 19:05:13.299 +09:00 | Connection update   | Networking     | Nickname of 76561198956540241@steam is now 눈사람.
2021-02-09 19:05:13.431 +09:00 | Connection update   | Networking     | 76561198971793383@steam authenticated from endpoint 124.53.42.15:62159. Player ID assigned: 3. Auth token serial number: 56FKmzACdtKuvskm
2021-02-09 19:05:13.473 +09:00 | Connection update   | Networking     | Nickname of 76561198971793383@steam is now ges125.
2021-02-09 19:05:13.770 +09:00 | Connection update   | Networking     | 76561199074547285@steam authenticated from endpoint 211.244.160.34:58655. Player ID assigned: 7. Auth token serial number: JrvR1qDtuAd7uxvc
2021-02-09 19:05:13.852 +09:00 | Connection update   | Networking     | Nickname of 76561199074547285@steam is now 한국인입니다..
2021-02-09 19:05:13.870 +09:00 | Connection update   | Networking     | 76561199138508923@steam authenticated from endpoint 14.42.132.217:59483. Player ID assigned: 5. Auth token serial number: OdwkNCrOTZQghr0E
2021-02-09 19:05:13.919 +09:00 | Connection update   | Networking     | Nickname of 76561199138508923@steam is now SCP 재단 보호.
2021-02-09 19:05:14.004 +09:00 | Connection update   | Networking     | 76561198837393789@steam authenticated from endpoint 14.43.151.38:55613. Player ID assigned: 6. Auth token serial number: x5nybGM75PiIQx4m
2021-02-09 19:05:14.055 +09:00 | Connection update   | Networking     | Nickname of 76561198837393789@steam is now 제라스.
2021-02-09 19:05:14.107 +09:00 | Connection update   | Networking     | 76561199112011688@steam authenticated from endpoint 125.130.124.154:61921. Player ID assigned: 8. Auth token serial number: gWZTraxB1tqmTWa5
2021-02-09 19:05:14.159 +09:00 | Connection update   | Networking     | Nickname of 76561199112011688@steam is now 땅콩이 장인(마이크X).
2021-02-09 19:05:14.260 +09:00 | Connection update   | Networking     | 76561199066085465@steam authenticated from endpoint 221.156.224.119:53252. Player ID assigned: 9. Auth token serial number: fkLIRv5YYl0vv3iw
2021-02-09 19:05:14.317 +09:00 | Connection update   | Networking     | Nickname of 76561199066085465@steam is now 쵸리.
2021-02-09 19:05:14.375 +09:00 | Connection update   | Networking     | 76561198392832602@steam authenticated from endpoint 124.153.148.198:53084. Player ID assigned: 10. Auth token serial number: sPkoih/IVLd23EAw
