2021-02-09 17:50:24.111 +09:00 | Internal            | Logger         | Started logging. Game version: 10.2.1, private beta: NO.
2021-02-09 17:50:44.386 +09:00 | Connection update   | Networking     | 76561198109926552@steam preauthenticated from endpoint 211.213.249.85:55093.
2021-02-09 17:50:45.241 +09:00 | Connection update   | Networking     | 76561199073424187@steam preauthenticated from endpoint 222.232.222.56:65135.
2021-02-09 17:50:45.408 +09:00 | Connection update   | Networking     | 76561198971793383@steam preauthenticated from endpoint 124.53.42.15:56281.
2021-02-09 17:50:46.128 +09:00 | Connection update   | Networking     | 76561198392832602@steam preauthenticated from endpoint 124.153.148.198:52863.
2021-02-09 17:50:46.330 +09:00 | Connection update   | Networking     | 76561199043400671@steam preauthenticated from endpoint 58.238.197.130:61044.
2021-02-09 17:50:46.377 +09:00 | Connection update   | Networking     | 76561198951918211@steam preauthenticated from endpoint 123.215.152.252:51960.
2021-02-09 17:50:47.156 +09:00 | Connection update   | Networking     | 76561198861266533@steam preauthenticated from endpoint 58.237.93.235:52718.
2021-02-09 17:50:48.203 +09:00 | Connection update   | Networking     | 76561199112011688@steam preauthenticated from endpoint 125.130.124.154:51071.
2021-02-09 17:50:48.293 +09:00 | Connection update   | Networking     | 76561198983103903@steam preauthenticated from endpoint 115.89.151.197:62492.
2021-02-09 17:50:48.628 +09:00 | Connection update   | Networking     | 76561199062019912@steam preauthenticated from endpoint 1.242.246.5:65105.
2021-02-09 17:50:48.857 +09:00 | Connection update   | Networking     | 76561199114210484@steam preauthenticated from endpoint 211.213.169.105:63864.
2021-02-09 17:50:49.967 +09:00 | Connection update   | Networking     | 76561198254130933@steam preauthenticated from endpoint 192.168.0.1:50189.
2021-02-09 17:50:50.922 +09:00 | Connection update   | Networking     | 76561198109926552@steam authenticated from endpoint 211.213.249.85:55093. Player ID assigned: 2. Auth token serial number: NP7ApGldGrcsvGgw
2021-02-09 17:50:50.975 +09:00 | Connection update   | Networking     | Nickname of 76561198109926552@steam is now UKUN.
2021-02-09 17:50:52.508 +09:00 | Connection update   | Networking     | 76561199073424187@steam authenticated from endpoint 222.232.222.56:65135. Player ID assigned: 3. Auth token serial number: 4CCJr11GgfRk8oP9
2021-02-09 17:50:52.565 +09:00 | Connection update   | Networking     | Nickname of 76561199073424187@steam is now 음아잇.
2021-02-09 17:50:53.249 +09:00 | Connection update   | Networking     | 76561198971793383@steam authenticated from endpoint 124.53.42.15:56281. Player ID assigned: 4. Auth token serial number: gs7Yx8HGQaR168HP
2021-02-09 17:50:53.282 +09:00 | Connection update   | Networking     | Nickname of 76561198971793383@steam is now ges125.
2021-02-09 17:50:53.621 +09:00 | Connection update   | Networking     | 76561199043400671@steam authenticated from endpoint 58.238.197.130:61044. Player ID assigned: 5. Auth token serial number: ptRnBZai7cPTJ99D
2021-02-09 17:50:53.655 +09:00 | Connection update   | Networking     | Nickname of 76561199043400671@steam is now junjjang0902.
2021-02-09 17:50:53.744 +09:00 | Connection update   | Networking     | 76561198392832602@steam authenticated from endpoint 124.153.148.198:52863. Player ID assigned: 7. Auth token serial number: H1pvQN7iFGIChTWI
2021-02-09 17:50:53.796 +09:00 | Connection update   | Networking     | Nickname of 76561198392832602@steam is now Science Yasuo.
2021-02-09 17:50:53.798 +09:00 | Connection update   | Permissions    | Science Yasuo (76561198392832602@steam) has been assigned to group 과학자.
2021-02-09 17:50:54.066 +09:00 | Connection update   | Networking     | 76561198951918211@steam authenticated from endpoint 123.215.152.252:51960. Player ID assigned: 6. Auth token serial number: 4OYwTh4t/I8iNjfL
2021-02-09 17:50:54.098 +09:00 | Connection update   | Networking     | Nickname of 76561198951918211@steam is now 헬리곱터.
2021-02-09 17:50:54.098 +09:00 | Connection update   | Networking     | Player (CharacterClassManager)) connected from IP 123.215.152.252 sent Do Not Track signal.
2021-02-09 17:50:55.376 +09:00 | Connection update   | Networking     | 76561198861266533@steam authenticated from endpoint 58.237.93.235:52718. Player ID assigned: 8. Auth token serial number: Nyrd4hx7MmmcHxTI
2021-02-09 17:50:55.427 +09:00 | Connection update   | Networking     | Nickname of 76561198861266533@steam is now Go Nyang Yi.
2021-02-09 17:50:56.455 +09:00 | Connection update   | Networking     | 76561199112011688@steam authenticated from endpoint 125.130.124.154:51071. Player ID assigned: 9. Auth token serial number: CuAJ/RtR8z9xasuU
